sample_name,specimen_id,campaign_id,series_id,n_steel_mesh,week,ageing_days,ultimate_load_kn,terminal_ultimate_load_kn_target,baseline_predicted_ultimate_load_kn,baseline_predicted_ultimate_load_kn_std,prediction_count,is_measured_ultimate_load,baseline_residual,baseline_abs_error,candidate_predicted_ultimate_load_kn,candidate_predicted_ultimate_load_kn_std,candidate_abs_error,candidate_residual,stage2_model_name,delta_abs_error,specimen_label,specimen_change_status
D01,D01,campaign_2,D,4,36,252,1.89,1.89,1.7878527810623424,0.004950048501541801,2,True,-0.10214721893765755,0.10214721893765755,1.7582425902029004,0.10975504858098281,0.1317574097970995,-0.1317574097970995,CatBoost,0.029610190859441943,D01 | mesh 4 | actual 1.89 kN,no_meaningful_change
D02,D02,campaign_2,D,4,36,252,1.8,1.8,1.8083865910563555,0.003313840020868365,2,True,0.008386591056355419,0.008386591056355419,1.9555994235071439,0.001514224064307507,0.15559942350714384,0.15559942350714384,CatBoost,0.14721283245078842,D02 | mesh 4 | actual 1.80 kN,worsened
D03,D03,campaign_2,D,4,36,252,1.64,1.64,1.8191562513448483,0.007917002965962977,2,True,0.17915625134484836,0.17915625134484836,1.9026930945468015,0.07308359456581572,0.26269309454680156,0.26269309454680156,CatBoost,0.0835368432019532,D03 | mesh 4 | actual 1.64 kN,worsened
D04,D04,campaign_2,D,4,36,252,1.87,1.87,1.891878665663124,0.03259614632884421,2,True,0.021878665663123797,0.021878665663123797,1.7219742105686475,0.05191320333573539,0.14802578943135258,-0.14802578943135258,CatBoost,0.12614712376822879,D04 | mesh 4 | actual 1.87 kN,worsened
D05,D05,campaign_2,D,4,36,252,2.05,2.05,1.764009818159035,0.0017764490939561012,2,True,-0.2859901818409649,0.2859901818409649,1.8267957500677574,0.0004904060125019124,0.22320424993224242,-0.22320424993224242,CatBoost,-0.0627859319087225,D05 | mesh 4 | actual 2.05 kN,improved
D06,D06,campaign_2,D,4,36,252,1.61,1.61,1.8056093617679094,0.012353125296553422,2,True,0.19560936176790933,0.19560936176790933,1.744831311887407,0.06338604858911448,0.13483131188740693,0.13483131188740693,CatBoost,-0.060778049880502394,D06 | mesh 4 | actual 1.61 kN,improved
E01,E01,campaign_2,E,4,36,252,1.7,1.7,1.7774468629598665,0.03466689736230501,2,True,0.07744686295986658,0.07744686295986658,1.664423565244682,0.07072440663258817,0.03557643475531802,-0.03557643475531802,CatBoost,-0.04187042820454856,E01 | mesh 4 | actual 1.70 kN,no_meaningful_change
E02,E02,campaign_2,E,4,36,252,1.79,1.79,1.8158490244773984,0.03899899399956814,2,True,0.02584902447739834,0.02584902447739834,1.8943119516587315,0.140302367007975,0.10431195165873142,0.10431195165873142,CatBoost,0.07846292718133308,E02 | mesh 4 | actual 1.79 kN,worsened
E03,E03,campaign_2,E,4,36,252,1.91,1.91,1.8031031062124618,0.013985244808442644,2,True,-0.10689689378753808,0.10689689378753808,1.9468466448310964,0.1342704090334691,0.03684664483109645,0.03684664483109645,CatBoost,-0.07005024895644163,E03 | mesh 4 | actual 1.91 kN,improved
E04,E04,campaign_2,E,4,36,252,1.66,1.66,1.7727515220659593,0.0011156644336897936,2,True,0.1127515220659594,0.1127515220659594,1.983165056516095,0.06634031811309382,0.32316505651609506,0.32316505651609506,CatBoost,0.21041353445013566,E04 | mesh 4 | actual 1.66 kN,worsened
E05,E05,campaign_2,E,4,36,252,1.64,1.64,1.8358933081011624,0.00487239651570089,2,True,0.19589330810116246,0.19589330810116246,1.8591266297920197,0.10148984532020341,0.2191266297920198,0.2191266297920198,CatBoost,0.023233321690857345,E05 | mesh 4 | actual 1.64 kN,no_meaningful_change
E06,E06,campaign_2,E,4,36,252,1.87,1.87,1.6955082775379822,0.0847068421255388,2,True,-0.17449172246201794,0.17449172246201794,1.5760823139851123,0.07433654615899839,0.29391768601488777,-0.29391768601488777,CatBoost,0.11942596355286983,E06 | mesh 4 | actual 1.87 kN,worsened
F01,F01,campaign_2,F,4,36,252,1.9,1.9,1.9275687537775301,0.013856843796374361,2,True,0.02756875377753021,0.02756875377753021,2.056526302008059,0.0005683882893756427,0.15652630200805895,0.15652630200805895,CatBoost,0.12895754823052874,F01 | mesh 4 | actual 1.90 kN,worsened
F02,F02,campaign_2,F,4,36,252,1.71,1.71,1.8226366715852147,0.09749528030904789,2,True,0.11263667158521473,0.11263667158521473,1.908721854004185,0.10305987781379833,0.19872185400418507,0.19872185400418507,CatBoost,0.08608518241897034,F02 | mesh 4 | actual 1.71 kN,worsened
F03,F03,campaign_2,F,4,36,252,2.39,2.39,1.7809222005841745,0.00443280264563535,2,True,-0.6090777994158256,0.6090777994158256,1.701992759347839,0.040291807226746607,0.6880072406521611,-0.6880072406521611,CatBoost,0.0789294412363355,F03 | mesh 4 | actual 2.39 kN,worsened
F04,F04,campaign_2,F,4,36,252,2.01,2.01,1.9135852091956023,0.02745315482734678,2,True,-0.09641479080439752,0.09641479080439752,1.921801478825317,0.015437158817330297,0.08819852117468274,-0.08819852117468274,CatBoost,-0.008216269629714779,F04 | mesh 4 | actual 2.01 kN,no_meaningful_change
F05,F05,campaign_2,F,4,36,252,1.6,1.6,1.9534875099966604,0.001200381272406856,2,True,0.35348750999666034,0.35348750999666034,2.0024135826606635,0.01143792555997248,0.4024135826606634,0.4024135826606634,CatBoost,0.04892607266400306,F05 | mesh 4 | actual 1.60 kN,no_meaningful_change
F06,F06,campaign_2,F,4,36,252,1.68,1.68,1.9270097222822717,0.011686215385463937,2,True,0.2470097222822718,0.2470097222822718,1.809221632175813,0.03972705407917958,0.12922163217581306,0.12922163217581306,CatBoost,-0.11778809010645874,F06 | mesh 4 | actual 1.68 kN,improved
G01,G01,campaign_2,G,4,36,252,1.91,1.91,2.034285884283472,0.0044048579939709185,2,True,0.12428588428347198,0.12428588428347198,1.8261705017832521,0.05368740824475582,0.08382949821674779,-0.08382949821674779,CatBoost,-0.04045638606672419,G01 | mesh 4 | actual 1.91 kN,no_meaningful_change
G02,G02,campaign_2,G,4,36,252,2.25,2.25,1.9655147360713539,0.024153078800417522,2,True,-0.28448526392864615,0.28448526392864615,1.9877728437983233,0.06238951180697931,0.2622271562016767,-0.2622271562016767,CatBoost,-0.022258107726969456,G02 | mesh 4 | actual 2.25 kN,no_meaningful_change
G03,G03,campaign_2,G,4,36,252,1.6,1.6,2.025827737441536,0.06690967511094557,2,True,0.4258277374415358,0.4258277374415358,1.938598205428365,0.007406343928071989,0.33859820542836494,0.33859820542836494,CatBoost,-0.08722953201317085,G03 | mesh 4 | actual 1.60 kN,improved
G04,G04,campaign_2,G,4,36,252,2.21,2.21,2.051932452824219,0.027495546358759167,2,True,-0.1580675471757811,0.1580675471757811,1.9745259419229737,0.04393030307381798,0.23547405807702626,-0.23547405807702626,CatBoost,0.07740651090124517,G04 | mesh 4 | actual 2.21 kN,worsened
G05,G05,campaign_2,G,4,36,252,2.16,2.16,2.002890722975265,0.005867323179585459,2,True,-0.15710927702473532,0.15710927702473532,1.9045474347643516,0.024604646417699147,0.2554525652356485,-0.2554525652356485,CatBoost,0.0983432882109132,G05 | mesh 4 | actual 2.16 kN,worsened
G06,G06,campaign_2,G,4,36,252,1.97,1.97,1.9990044427608638,0.018999753456654788,2,True,0.02900444276086378,0.02900444276086378,2.1119072921690565,0.005120414786300202,0.1419072921690565,0.1419072921690565,CatBoost,0.11290284940819273,G06 | mesh 4 | actual 1.97 kN,worsened
S1MI01,S1MI01,campaign_1,S1,7,28,196,2.38,2.38,2.4241709652334507,0.07000217648504481,2,True,0.044170965233450765,0.044170965233450765,2.4005175258062352,0.12840878472312545,0.020517525806235337,0.020517525806235337,CatBoost,-0.023653439427215428,S1MI01 | mesh 7 | actual 2.38 kN,no_meaningful_change
