feature,importance_kind,importance,importance_abs,direction
img_hsv_v_mean_mean,coefficient,0.08236139055440844,0.08374188408341013,positive
img_hsv_s_mean_mean,coefficient,0.055344698518545565,0.08054000338738074,positive
img_strip_rust_max_pct_mean,coefficient,0.06905551419130364,0.07608385802317871,positive
peak_rust_pct_max,coefficient,-0.07273017810982985,0.07536454557369755,negative
img_hsv_v_mean_terminal,coefficient,-0.005613338081635997,0.07218632699922715,negative
peak_rust_pct_slope,coefficient,-0.053996316866399365,0.06478584046610422,negative
img_strip_rust_max_pct_terminal,coefficient,0.043537232090129795,0.06465353605842027,positive
img_hsv_v_mean_max,coefficient,0.007862713664893715,0.06346797706907668,positive
peak_rust_pct_terminal,coefficient,-0.03757998650557069,0.056816660592270495,negative
img_hsv_s_mean_slope,coefficient,-0.03399868283926045,0.05530297549788856,negative
img_strip_rust_max_pct_max,coefficient,-0.03900196668441117,0.05316226865385887,negative
img_hsv_v_mean_slope,coefficient,0.02721450957943792,0.05158126804498362,positive
img_hsv_s_mean_terminal,coefficient,0.046365840518520884,0.049082673059982304,positive
img_hsv_s_mean_max,coefficient,0.0022149249841230617,0.044768016707077515,positive
n_rows_post_onset,coefficient,0.012762552612126337,0.04430846133954569,positive
img_strip_rust_max_pct_slope,coefficient,0.03191116003621751,0.04172421649125871,positive
surface_total_rust_pct_mean,coefficient,0.022602659281504307,0.030648895386129794,positive
img_rust_area_ratio_pct_mean,coefficient,0.022607615887873286,0.030647340643281305,positive
img_rust_area_ratio_pct_terminal,coefficient,0.001741077789477552,0.02929959433115935,positive
surface_total_rust_pct_terminal,coefficient,0.0017261392921540963,0.02928676953788114,positive
has_visible_corrosion_onset,coefficient,0.027047948836052937,0.02920997344601966,positive
surface_total_rust_pct_max,coefficient,-0.02437295612260846,0.028274469954151966,negative
img_rust_area_ratio_pct_max,coefficient,-0.02437122984240138,0.02827339726971902,negative
peak_rust_pct_mean,coefficient,-0.0013625080296897328,0.023037062339999564,negative
weeks_after_onset_at_terminal,coefficient,-0.009581408392076664,0.021448112149493385,negative
visible_corrosion_onset_week,coefficient,0.00958140839207666,0.021448112149493374,positive
img_rust_area_ratio_pct_slope,coefficient,0.004006138731084638,0.019146022171019426,positive
surface_total_rust_pct_slope,coefficient,0.004012136646646089,0.019145292279941536,positive
