feature,importance,importance_abs,importance_kind,direction,n_steel_mesh,split_name,repeat_id,fold_id,split_id
img_strip_rust_max_pct_slope,0.2072923250838829,0.2072923250838829,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_slope,-0.13739326133569615,0.13739326133569615,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_mean,0.10690044489506906,0.10690044489506906,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct_terminal,0.10210409757022154,0.10210409757022154,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct_mean,0.09190600606153626,0.09190600606153626,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_slope,0.07672096706324824,0.07672096706324824,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_max,-0.07534996094079544,0.07534996094079544,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct_max,-0.0753452117321438,0.0753452117321438,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_mean,0.06098106717449358,0.06098106717449358,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_terminal,-0.057291125150575446,0.057291125150575446,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct_terminal,-0.057240961096277285,0.057240961096277285,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct_max,0.05534466873294166,0.05534466873294166,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_slope,-0.04346643743293241,0.04346643743293241,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct_slope,-0.04345385344553793,0.04345385344553793,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_slope,0.04055245646377852,0.04055245646377852,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_max,0.036926419028752676,0.036926419028752676,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_terminal,0.031994564034801595,0.031994564034801595,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_max,0.02634367463867697,0.02634367463867697,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_rows_post_onset,-0.02480449720846341,0.02480449720846341,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_terminal,0.024460152659614653,0.024460152659614653,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_mean,0.022318588047752386,0.022318588047752386,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_terminal,-0.017466765143870976,0.017466765143870976,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
weeks_after_onset_at_terminal,-0.017107139708017166,0.017107139708017166,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
visible_corrosion_onset_week,0.017107139708017055,0.017107139708017055,coefficient,positive,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
has_visible_corrosion_onset,-0.013462986817257579,0.013462986817257579,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct_mean,-0.009391988506981495,0.009391988506981495,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_mean,-0.009384511563922901,0.009384511563922901,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_max,-0.004895146607850403,0.004895146607850403,coefficient,negative,4,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_slope,-0.12183497738572156,0.12183497738572156,coefficient,negative,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_terminal,-0.11307774635089067,0.11307774635089067,coefficient,negative,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_mean,-0.09962303940952343,0.09962303940952343,coefficient,negative,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
peak_rust_pct_max,-0.09326263084061871,0.09326263084061871,coefficient,negative,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_slope,0.07689632061287133,0.07689632061287133,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct_mean,0.07660760933733564,0.07660760933733564,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct_terminal,0.0669476483161568,0.0669476483161568,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_terminal,-0.06337355467121439,0.06337355467121439,coefficient,negative,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_max,0.04711376978813648,0.04711376978813648,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_mean,-0.04502333682669703,0.04502333682669703,coefficient,negative,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_rows_post_onset,-0.044930490940627926,0.044930490940627926,coefficient,negative,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct_mean,0.04443348975548762,0.04443348975548762,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_mean,0.04443348338175798,0.04443348338175798,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_terminal,0.04356086002662397,0.04356086002662397,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct_max,0.033563610967551935,0.033563610967551935,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean_slope,-0.03088231161819656,0.03088231161819656,coefficient,negative,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct_max,0.028956348200904522,0.028956348200904522,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_max,0.028940413939524845,0.028940413939524845,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
visible_corrosion_onset_week,0.026403758829872656,0.026403758829872656,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
weeks_after_onset_at_terminal,-0.026403758829872656,0.026403758829872656,coefficient,negative,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct_terminal,0.020622055184299846,0.020622055184299846,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_terminal,0.020615310424949594,0.020615310424949594,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct_slope,0.019635512442475397,0.019635512442475397,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_mean,-0.01380493529001693,0.01380493529001693,coefficient,negative,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct_slope,0.010245037364922119,0.010245037364922119,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
surface_total_rust_pct_slope,0.010236731927705071,0.010236731927705071,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_max,-0.005618549012524614,0.005618549012524614,coefficient,negative,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
has_visible_corrosion_onset,0.0,0.0,coefficient,positive,7,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean_mean,0.21095116644759945,0.21095116644759945,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
peak_rust_pct_max,-0.14529648290971064,0.14529648290971064,coefficient,negative,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_mean_terminal,0.1381934211269153,0.1381934211269153,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_mean_max,-0.09576836833069881,0.09576836833069881,coefficient,negative,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
has_visible_corrosion_onset,0.08709328696122753,0.08709328696122753,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
visible_corrosion_onset_week,0.0769996090806383,0.0769996090806383,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
weeks_after_onset_at_terminal,-0.0769996090806383,0.0769996090806383,coefficient,negative,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_rust_max_pct_max,-0.07571180409481912,0.07571180409481912,coefficient,negative,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
peak_rust_pct_slope,-0.0705205853642713,0.0705205853642713,coefficient,negative,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_area_ratio_pct_terminal,0.06956595330658864,0.06956595330658864,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
surface_total_rust_pct_terminal,0.0695547541992562,0.0695547541992562,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_mean_max,-0.05738349439613372,0.05738349439613372,coefficient,negative,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_mean_terminal,0.05602872046674983,0.05602872046674983,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_mean_slope,0.05196870247926464,0.05196870247926464,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
surface_total_rust_pct_slope,0.05074034056452466,0.05074034056452466,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_area_ratio_pct_slope,0.050737916015385236,0.050737916015385236,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
n_rows_post_onset,0.049317333505801975,0.049317333505801975,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_area_ratio_pct_mean,0.04102451344097219,0.04102451344097219,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
