sample_name,specimen_id,n_steel_mesh_raw,treatment_raw,treatment_label_raw,ageing_days,surface_total_rust_pct,surface_total_rust_category,peak_rust_pct,peak_rust_category,peak_rust_location_cm,cover_mm_raw,wire_area_loss_raw,ultimate_load_kn
D01-20240110-0W,D01,4,NO,D,0,0.003,1,0.02,1,13.99,7.16,,
D01-20240124-2W,D01,4,NO,D,14,0.0,1,0.0,1,1.51,7.16,,
D01-20240207-4W,D01,4,NO,D,28,0.006,1,0.022,1,13.99,7.16,,
D01-20240221-6W,D01,4,NO,D,42,0.0,1,0.004,1,21.49,7.16,,
D01-20240306-8W,D01,4,NO,D,56,0.081,1,0.403,1,21.49,7.16,,
D01-20240320-10W,D01,4,NO,D,70,0.565,1,2.658,1,11.5,7.16,,
D01-20240405-12W,D01,4,NO,D,84,0.194,1,1.274,1,11.5,7.16,,
D01-20240417-14W,D01,4,NO,D,98,0.676,1,3.268,1,13.99,7.16,,
D01-20240508-17W,D01,4,NO,D,119,0.96,1,3.822,1,13.99,7.16,,
D01-20240522-19W,D01,4,NO,D,133,0.893,1,3.254,1,11.5,7.16,,
D01-20240529-20W,D01,4,NO,D,140,0.655,1,3.522,1,13.99,7.16,,
D01-20240619-23W,D01,4,NO,D,161,1.197,1,4.321,1,11.5,7.16,,
D01-20240626-24W,D01,4,NO,D,168,1.555,1,5.895,2,11.5,7.16,,
D01-20240710-26W,D01,4,NO,D,182,1.003,1,3.882,1,11.5,7.16,,
D01-20240724-28W,D01,4,NO,D,196,2.063,1,6.289,2,13.99,7.16,,
D01-20240807-30W,D01,4,NO,D,210,1.077,1,2.262,1,1.51,7.16,,
D01-20240902-33W,D01,4,NO,D,231,1.586,1,3.674,1,13.99,7.16,,
D01-20240918-36W,D01,4,NO,D,252,0.943,1,2.94,1,11.5,7.16,0.2603,1.89
D02-20240110-0W,D02,4,NO,D,0,0.032,1,0.165,1,18.99,5.61,,
D02-20240124-2W,D02,4,NO,D,14,0.0,1,0.003,1,1.51,5.61,,
D02-20240207-4W,D02,4,NO,D,28,0.03,1,0.175,1,18.99,5.61,,
D02-20240221-6W,D02,4,NO,D,42,0.021,1,0.11,1,11.5,5.61,,
D02-20240306-8W,D02,4,NO,D,56,0.692,1,2.289,1,11.5,5.61,,
D02-20240320-10W,D02,4,NO,D,70,2.722,1,9.196,2,11.5,5.61,,
D02-20240405-12W,D02,4,NO,D,84,2.33,1,8.748,2,11.5,5.61,,
D02-20240417-14W,D02,4,NO,D,98,3.113,1,11.309,2,11.5,5.61,,
D02-20240508-17W,D02,4,NO,D,119,2.826,1,7.396,2,11.5,5.61,,
D02-20240522-19W,D02,4,NO,D,133,2.916,1,9.743,2,11.5,5.61,,
D02-20240529-20W,D02,4,NO,D,140,1.121,1,2.048,1,13.99,5.61,,
D02-20240619-23W,D02,4,NO,D,161,4.682,1,14.71,3,11.5,5.61,,
D02-20240626-24W,D02,4,NO,D,168,4.213,1,13.94,3,11.5,5.61,,
D02-20240710-26W,D02,4,NO,D,182,1.271,1,3.319,1,11.5,5.61,,
D02-20240724-28W,D02,4,NO,D,196,4.431,1,12.981,3,11.5,5.61,,
D02-20240807-30W,D02,4,NO,D,210,0.415,1,1.226,1,21.49,5.61,,
D02-20240902-33W,D02,4,NO,D,231,3.146,1,10.114,2,11.5,5.61,,
D02-20240918-36W,D02,4,NO,D,252,1.455,1,5.501,2,11.5,5.61,0.3292,1.8
D03-20240110-0W,D03,4,NO,D,0,0.0,1,0.0,1,1.51,5.9,,
D03-20240124-2W,D03,4,NO,D,14,0.0,1,0.0,1,1.51,5.9,,
D03-20240207-4W,D03,4,NO,D,28,0.008,1,0.053,1,1.51,5.9,,
D03-20240221-6W,D03,4,NO,D,42,0.0,1,0.0,1,1.51,5.9,,
D03-20240306-8W,D03,4,NO,D,56,0.023,1,0.181,1,1.51,5.9,,
D03-20240320-10W,D03,4,NO,D,70,0.069,1,0.55,1,1.51,5.9,,
D03-20240405-12W,D03,4,NO,D,84,0.0,1,0.001,1,1.51,5.9,,
D03-20240417-14W,D03,4,NO,D,98,0.051,1,0.327,1,1.51,5.9,,
D03-20240508-17W,D03,4,NO,D,119,0.09,1,0.146,1,9.0,5.9,,
D03-20240522-19W,D03,4,NO,D,133,0.041,1,0.251,1,1.51,5.9,,
D03-20240529-20W,D03,4,NO,D,140,0.029,1,0.091,1,1.51,5.9,,
D03-20240619-23W,D03,4,NO,D,161,0.071,1,0.339,1,1.51,5.9,,
D03-20240626-24W,D03,4,NO,D,168,0.082,1,0.562,1,1.51,5.9,,
D03-20240710-26W,D03,4,NO,D,182,0.084,1,0.5,1,1.51,5.9,,
D03-20240724-28W,D03,4,NO,D,196,0.08,1,0.28,1,1.51,5.9,,
D03-20240807-30W,D03,4,NO,D,210,0.018,1,0.05,1,21.49,5.9,,
D03-20240902-33W,D03,4,NO,D,231,0.039,1,0.207,1,1.51,5.9,,
D03-20240918-36W,D03,4,NO,D,252,0.044,1,0.177,1,1.51,5.9,0.2028,1.64
D04-20240110-0W,D04,4,NO,D,0,0.082,1,0.647,1,1.51,2.28,,
D04-20240124-2W,D04,4,NO,D,14,0.003,1,0.021,1,1.51,2.28,,
D04-20240207-4W,D04,4,NO,D,28,0.535,1,1.319,1,1.51,2.28,,
D04-20240221-6W,D04,4,NO,D,42,0.815,1,1.79,1,13.99,2.28,,
D04-20240306-8W,D04,4,NO,D,56,2.353,1,5.959,2,13.99,2.28,,
D04-20240320-10W,D04,4,NO,D,70,15.047,3,32.852,4,16.49,2.28,,
D04-20240405-12W,D04,4,NO,D,84,19.675,3,38.983,4,16.49,2.28,,
D04-20240417-14W,D04,4,NO,D,98,35.886,4,74.277,4,16.49,2.28,,
