specimen_id,family,criterion,rmse,fit_succeeded,params
D01,linear,-217.30881195219513,0.0020356660350295,True,"{""coeffs"": [1.8818800852250704e-05, 0.24648442731699505]}"
D01,log_time,-212.00805203723868,0.0023585957452619,True,"{""coeffs"": [0.0005763517567845722, 0.2462428322280684]}"
D01,logistic,-214.46539006064563,0.0020330129245433,True,"{""params"": [42.180144143479, 7.65066333084701e-05, 67138.87283788163]}"
D01,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
D01,monotone_isotonic,-479.042939556472,5.233641528945917e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.2478929749743117, 0.25576617658911927, 0.25576617658911927]}"
D02,linear,-201.0263914671505,0.0031998776958305,True,"{""coeffs"": [2.958140484400146e-05, 0.26119746601418325]}"
D02,log_time,-195.72563085596136,0.0037074931687578,True,"{""coeffs"": [0.0009059713625672833, 0.260817701002057]}"
D02,logistic,-198.205755659927,0.0031936851806637,True,"{""params"": [76.3182654914887, 0.00011300045341469931, 50212.313833873726]}"
D02,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
D02,monotone_isotonic,-479.042939556472,5.233641528945917e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.26341157194050074, 0.27578751269329427, 0.27578751269329427]}"
D03,linear,-203.41023472266804,0.0029948516971033,True,"{""coeffs"": [2.7686033317833934e-05, 0.2103583988884457]}"
D03,log_time,-198.10947417850667,0.0034699426865349,True,"{""coeffs"": [0.0008479229928840873, 0.2100029665878458]}"
D03,logistic,-200.600918648081,0.0029881162331292,True,"{""params"": [78.11590248698671, 0.00013110344792618947, 45113.30109015798]}"
D03,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
D03,monotone_isotonic,-479.042939556472,2.5337258102033824e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305686, 0.21243064024305688, 0.22401361643463089, 0.22401361643463089]}"
D04,linear,-182.0101375160835,0.0054267579828122,True,"{""coeffs"": [5.016789394455901e-05, 0.1826236899193415]}"
D04,log_time,-176.70937659612724,0.0062876366106099,True,"{""coeffs"": [0.0015364610123748052, 0.1819796363000936]}"
D04,logistic,-179.28850931843428,0.0054013805471623,True,"{""params"": [208.42830903034303, 0.0002712086664732883, 25955.45969621843]}"
D04,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
D04,monotone_isotonic,-479.042939556472,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.18637865124992323, 0.20736733946214617, 0.20736733946214617]}"
D05,linear,-203.78745950388316,0.0029636340832646,True,"{""coeffs"": [2.7397440764928664e-05, 0.22826180909140215]}"
D05,log_time,-198.4866989711657,0.0034337728384802,True,"{""coeffs"": [0.0008390844475289573, 0.22791008173162333]}"
D05,logistic,-200.9709981780937,0.0029575557832563,True,"{""params"": [72.10737306648468, 0.00011968718039435768, 48061.16859113377]}"
D05,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
