specimen_id,best_family,threshold_wire_area_loss_frac,last_observed_day,last_observed_predicted_wire_area_loss_frac,estimated_crossing_day,proxy_rul_days,right_censored,threshold_reached_by_baseline,threshold_reached_by_last_observation,threshold_crossed_during_observation,future_crossing_within_horizon,threshold_status,projection_horizon_days
D01,monotone_isotonic,0.2,252.0,0.2557661765891192,0.0,,False,True,True,False,False,crossed_by_baseline,365
D01,monotone_isotonic,0.3,252.0,0.2557661765891192,,,True,False,False,False,False,not_crossed_within_horizon,365
D01,monotone_isotonic,0.4,252.0,0.2557661765891192,,,True,False,False,False,False,not_crossed_within_horizon,365
D02,monotone_isotonic,0.2,252.0,0.2757875126932942,0.0,,False,True,True,False,False,crossed_by_baseline,365
D02,monotone_isotonic,0.3,252.0,0.2757875126932942,,,True,False,False,False,False,not_crossed_within_horizon,365
D02,monotone_isotonic,0.4,252.0,0.2757875126932942,,,True,False,False,False,False,not_crossed_within_horizon,365
D03,monotone_isotonic,0.2,252.0,0.2240136164346308,0.0,,False,True,True,False,False,crossed_by_baseline,365
D03,monotone_isotonic,0.3,252.0,0.2240136164346308,,,True,False,False,False,False,not_crossed_within_horizon,365
D03,monotone_isotonic,0.4,252.0,0.2240136164346308,,,True,False,False,False,False,not_crossed_within_horizon,365
D04,monotone_isotonic,0.2,252.0,0.2073673394621461,224.0,,False,False,True,True,False,crossed_during_observation,365
D04,monotone_isotonic,0.3,252.0,0.2073673394621461,,,True,False,False,False,False,not_crossed_within_horizon,365
D04,monotone_isotonic,0.4,252.0,0.2073673394621461,,,True,False,False,False,False,not_crossed_within_horizon,365
D05,monotone_isotonic,0.2,252.0,0.2417746879339206,0.0,,False,True,True,False,False,crossed_by_baseline,365
D05,monotone_isotonic,0.3,252.0,0.2417746879339206,,,True,False,False,False,False,not_crossed_within_horizon,365
D05,monotone_isotonic,0.4,252.0,0.2417746879339206,,,True,False,False,False,False,not_crossed_within_horizon,365
D06,monotone_isotonic,0.2,252.0,0.2221457525942234,0.0,,False,True,True,False,False,crossed_by_baseline,365
D06,monotone_isotonic,0.3,252.0,0.2221457525942234,,,True,False,False,False,False,not_crossed_within_horizon,365
D06,monotone_isotonic,0.4,252.0,0.2221457525942234,,,True,False,False,False,False,not_crossed_within_horizon,365
E01,monotone_isotonic,0.2,252.0,0.4330490506280732,0.0,,False,True,True,False,False,crossed_by_baseline,365
E01,monotone_isotonic,0.3,252.0,0.4330490506280732,0.0,,False,True,True,False,False,crossed_by_baseline,365
E01,monotone_isotonic,0.4,252.0,0.4330490506280732,0.0,,False,True,True,False,False,crossed_by_baseline,365
E02,monotone_isotonic,0.2,252.0,0.276987119726002,0.0,,False,True,True,False,False,crossed_by_baseline,365
E02,monotone_isotonic,0.3,252.0,0.276987119726002,,,True,False,False,False,False,not_crossed_within_horizon,365
E02,monotone_isotonic,0.4,252.0,0.276987119726002,,,True,False,False,False,False,not_crossed_within_horizon,365
E03,monotone_isotonic,0.2,252.0,0.3186420126154809,0.0,,False,True,True,False,False,crossed_by_baseline,365
E03,monotone_isotonic,0.3,252.0,0.3186420126154809,215.0,,False,False,True,True,False,crossed_during_observation,365
E03,monotone_isotonic,0.4,252.0,0.3186420126154809,,,True,False,False,False,False,not_crossed_within_horizon,365
E04,monotone_isotonic,0.2,252.0,0.4360413427216097,0.0,,False,True,True,False,False,crossed_by_baseline,365
E04,monotone_isotonic,0.3,252.0,0.4360413427216097,0.0,,False,True,True,False,False,crossed_by_baseline,365
E04,monotone_isotonic,0.4,252.0,0.4360413427216097,0.0,,False,True,True,False,False,crossed_by_baseline,365
E05,monotone_isotonic,0.2,252.0,0.2845103004151622,0.0,,False,True,True,False,False,crossed_by_baseline,365
E05,monotone_isotonic,0.3,252.0,0.2845103004151622,,,True,False,False,False,False,not_crossed_within_horizon,365
E05,monotone_isotonic,0.4,252.0,0.2845103004151622,,,True,False,False,False,False,not_crossed_within_horizon,365
E06,monotone_isotonic,0.2,252.0,0.0572924164927157,,,True,False,False,False,False,not_crossed_within_horizon,365
E06,monotone_isotonic,0.3,252.0,0.0572924164927157,,,True,False,False,False,False,not_crossed_within_horizon,365
E06,monotone_isotonic,0.4,252.0,0.0572924164927157,,,True,False,False,False,False,not_crossed_within_horizon,365
F01,monotone_isotonic,0.2,252.0,0.2418768620095086,0.0,,False,True,True,False,False,crossed_by_baseline,365
F01,monotone_isotonic,0.3,252.0,0.2418768620095086,,,True,False,False,False,False,not_crossed_within_horizon,365
F01,monotone_isotonic,0.4,252.0,0.2418768620095086,,,True,False,False,False,False,not_crossed_within_horizon,365
F02,monotone_isotonic,0.2,252.0,0.4337995723983817,0.0,,False,True,True,False,False,crossed_by_baseline,365
F02,monotone_isotonic,0.3,252.0,0.4337995723983817,0.0,,False,True,True,False,False,crossed_by_baseline,365
F02,monotone_isotonic,0.4,252.0,0.4337995723983817,0.0,,False,True,True,False,False,crossed_by_baseline,365
F03,monotone_isotonic,0.2,252.0,0.3870327834775076,0.0,,False,True,True,False,False,crossed_by_baseline,365
F03,monotone_isotonic,0.3,252.0,0.3870327834775076,0.0,,False,True,True,False,False,crossed_by_baseline,365
F03,monotone_isotonic,0.4,252.0,0.3870327834775076,,,True,False,False,False,False,not_crossed_within_horizon,365
F04,monotone_isotonic,0.2,252.0,0.2275120851190962,0.0,,False,True,True,False,False,crossed_by_baseline,365
F04,monotone_isotonic,0.3,252.0,0.2275120851190962,,,True,False,False,False,False,not_crossed_within_horizon,365
F04,monotone_isotonic,0.4,252.0,0.2275120851190962,,,True,False,False,False,False,not_crossed_within_horizon,365
F05,monotone_isotonic,0.2,252.0,0.2447294901455693,0.0,,False,True,True,False,False,crossed_by_baseline,365
F05,monotone_isotonic,0.3,252.0,0.2447294901455693,,,True,False,False,False,False,not_crossed_within_horizon,365
F05,monotone_isotonic,0.4,252.0,0.2447294901455693,,,True,False,False,False,False,not_crossed_within_horizon,365
F06,monotone_isotonic,0.2,252.0,0.4871428519690592,0.0,,False,True,True,False,False,crossed_by_baseline,365
F06,monotone_isotonic,0.3,252.0,0.4871428519690592,0.0,,False,True,True,False,False,crossed_by_baseline,365
F06,monotone_isotonic,0.4,252.0,0.4871428519690592,0.0,,False,True,True,False,False,crossed_by_baseline,365
G01,linear,0.2,252.0,0.109421341805539,,,True,False,False,False,False,not_crossed_within_horizon,365
G01,linear,0.3,252.0,0.109421341805539,,,True,False,False,False,False,not_crossed_within_horizon,365
G01,linear,0.4,252.0,0.109421341805539,,,True,False,False,False,False,not_crossed_within_horizon,365
G02,linear,0.2,252.0,0.1177052073092089,,,True,False,False,False,False,not_crossed_within_horizon,365
G02,linear,0.3,252.0,0.1177052073092089,,,True,False,False,False,False,not_crossed_within_horizon,365
G02,linear,0.4,252.0,0.1177052073092089,,,True,False,False,False,False,not_crossed_within_horizon,365
