specimen_id,0.2,0.3,0.4
D01,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
D02,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
D03,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
D04,crossed_during_observation,not_crossed_within_horizon,not_crossed_within_horizon
D05,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
D06,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
E01,crossed_by_baseline,crossed_by_baseline,crossed_by_baseline
E02,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
E03,crossed_by_baseline,crossed_during_observation,not_crossed_within_horizon
E04,crossed_by_baseline,crossed_by_baseline,crossed_by_baseline
E05,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
E06,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
F01,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
F02,crossed_by_baseline,crossed_by_baseline,crossed_by_baseline
F03,crossed_by_baseline,crossed_by_baseline,not_crossed_within_horizon
F04,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
F05,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
F06,crossed_by_baseline,crossed_by_baseline,crossed_by_baseline
G01,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
G02,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
G03,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
G04,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
G05,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
G06,crossed_by_baseline,crossed_by_baseline,not_crossed_within_horizon
S1MI01,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
S1MI02,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
S1MI03,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
S1MI04,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
S1MI05,crossed_by_baseline,crossed_by_baseline,not_crossed_within_horizon
S1MI06,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
S1MI07,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
S2SA01,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
S2SA02,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
S2SA03,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
S2SA04,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
S2SA05,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
S2SA06,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
S2SA07,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
S3PA01,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
S3PA02,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
S3PA03,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
S3PA04,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
S4SAVF01,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
S4SAVF02,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
S4SAVF03,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
S5VF01,not_crossed_within_horizon,not_crossed_within_horizon,not_crossed_within_horizon
S5VF02,crossed_by_baseline,crossed_by_baseline,crossed_by_baseline
S5VF03,crossed_by_baseline,not_crossed_within_horizon,not_crossed_within_horizon
