strategy,split_id,train_rows,test_rows,train_specimens,test_specimens,leakage_detected,stage
group_shuffle,gss_0,38,10,38,10,False,hidden_damage
group_shuffle,gss_1,38,10,38,10,False,hidden_damage
group_shuffle,gss_2,38,10,38,10,False,hidden_damage
group_shuffle,gss_3,38,10,38,10,False,hidden_damage
group_shuffle,gss_4,38,10,38,10,False,hidden_damage
leave_one_campaign_out,leave_one_campaign_out_0,24,24,24,24,False,hidden_damage
leave_one_campaign_out,leave_one_campaign_out_1,24,24,24,24,False,hidden_damage
leave_one_treatment_out,leave_one_treatment_out_0,42,6,42,6,False,hidden_damage
leave_one_treatment_out,leave_one_treatment_out_1,42,6,42,6,False,hidden_damage
leave_one_treatment_out,leave_one_treatment_out_2,42,6,42,6,False,hidden_damage
leave_one_treatment_out,leave_one_treatment_out_3,42,6,42,6,False,hidden_damage
leave_one_treatment_out,leave_one_treatment_out_4,41,7,41,7,False,hidden_damage
leave_one_treatment_out,leave_one_treatment_out_5,41,7,41,7,False,hidden_damage
leave_one_treatment_out,leave_one_treatment_out_6,44,4,44,4,False,hidden_damage
leave_one_treatment_out,leave_one_treatment_out_7,45,3,45,3,False,hidden_damage
leave_one_treatment_out,leave_one_treatment_out_8,45,3,45,3,False,hidden_damage
group_shuffle,gss_0,632,159,38,10,False,master
group_shuffle,gss_1,629,162,38,10,False,master
group_shuffle,gss_2,629,162,38,10,False,master
group_shuffle,gss_3,626,165,38,10,False,master
group_shuffle,gss_4,624,167,38,10,False,master
leave_one_campaign_out,leave_one_campaign_out_0,431,360,24,24,False,master
leave_one_campaign_out,leave_one_campaign_out_1,360,431,24,24,False,master
leave_one_treatment_out,leave_one_treatment_out_0,683,108,42,6,False,master
leave_one_treatment_out,leave_one_treatment_out_1,684,107,42,6,False,master
leave_one_treatment_out,leave_one_treatment_out_2,683,108,42,6,False,master
leave_one_treatment_out,leave_one_treatment_out_3,683,108,42,6,False,master
leave_one_treatment_out,leave_one_treatment_out_4,686,105,41,7,False,master
leave_one_treatment_out,leave_one_treatment_out_5,686,105,41,7,False,master
leave_one_treatment_out,leave_one_treatment_out_6,731,60,44,4,False,master
leave_one_treatment_out,leave_one_treatment_out_7,746,45,45,3,False,master
leave_one_treatment_out,leave_one_treatment_out_8,746,45,45,3,False,master
group_shuffle,gss_0,632,159,38,10,False,surface
group_shuffle,gss_1,629,162,38,10,False,surface
group_shuffle,gss_2,629,162,38,10,False,surface
group_shuffle,gss_3,626,165,38,10,False,surface
group_shuffle,gss_4,624,167,38,10,False,surface
leave_one_campaign_out,leave_one_campaign_out_0,431,360,24,24,False,surface
leave_one_campaign_out,leave_one_campaign_out_1,360,431,24,24,False,surface
leave_one_treatment_out,leave_one_treatment_out_0,683,108,42,6,False,surface
leave_one_treatment_out,leave_one_treatment_out_1,684,107,42,6,False,surface
leave_one_treatment_out,leave_one_treatment_out_2,683,108,42,6,False,surface
leave_one_treatment_out,leave_one_treatment_out_3,683,108,42,6,False,surface
leave_one_treatment_out,leave_one_treatment_out_4,686,105,41,7,False,surface
leave_one_treatment_out,leave_one_treatment_out_5,686,105,41,7,False,surface
leave_one_treatment_out,leave_one_treatment_out_6,731,60,44,4,False,surface
leave_one_treatment_out,leave_one_treatment_out_7,746,45,45,3,False,surface
leave_one_treatment_out,leave_one_treatment_out_8,746,45,45,3,False,surface
