column,missing_count
sample_name,0
specimen_id,0
n_steel_mesh_raw,0
treatment_raw,0
treatment_label_raw,0
ageing_days,0
surface_total_rust_pct,0
surface_total_rust_category,0
peak_rust_pct,0
peak_rust_category,0
peak_rust_location_cm,0
cover_mm_raw,0
wire_area_loss_raw,743
ultimate_load_kn,743
specimen_id_from_name,0
date,0
week,0
calendar_date,0
campaign_id,0
series_id,0
split_group_treatment,0
treatment_protocol,0
treatment_coarse,0
treatment_label_coarse,0
n_steel_mesh,0
nacl_pct,0
terminal_week,0
terminal_days,0
image_filename,0
image_path,0
image_readable,0
image_width,0
image_height,0
image_error,791
observation_id,0
wire_area_loss_frac,743
wire_area_loss_pct,743
cover_mm,0
has_structural_label,0
is_terminal_structural_row,0
