stage,feature_name,source_family,data_type,missing_count,missing_fraction,nunique,variance,top_value_fraction,included_in_stage,exclusion_reason
surface,sample_name,identifier_or_flag,str,0,0.0,791,,0.0012642225031605564,False,identifier or file metadata
surface,specimen_id,identifier_or_flag,str,0,0.0,48,,0.022756005056890013,False,identifier or file metadata
surface,n_steel_mesh_raw,raw_source,int64,0,0.0,2,2.2346973067259834,0.5448798988621998,False,raw source column
surface,treatment_raw,raw_source,str,0,0.0,7,,0.38558786346396967,False,raw source column
surface,treatment_label_raw,raw_source,str,0,0.0,5,,0.38558786346396967,False,raw source column
surface,ageing_days,temporal,int64,0,0.0,25,5210.476621485382,0.0606826801517067,True,
surface,surface_total_rust_pct,target,float64,0,0.0,571,37.69802129064635,0.10998735777496839,False,stage target
surface,surface_total_rust_category,target,int64,0,0.0,4,0.33364912224551524,0.831858407079646,False,categorical target label
surface,peak_rust_pct,target,float64,0,0.0,641,125.54579078774503,0.0897597977243995,False,target column for another stage
surface,peak_rust_category,target,int64,0,0.0,4,0.9561970906879611,0.6649810366624526,False,categorical target label
surface,peak_rust_location_cm,other,float64,0,0.0,9,54.56983211925299,0.336283185840708,False,excluded by modeling rules
surface,cover_mm_raw,raw_source,float64,0,0.0,48,2.7346294442221826,0.022756005056890013,False,raw source column
surface,wire_area_loss_raw,raw_source,float64,743,0.9393173198482933,48,0.019496363469503546,0.9393173198482933,False,raw source column
surface,ultimate_load_kn,target,float64,743,0.9393173198482933,39,0.14677021276595748,0.9393173198482933,False,target column for another stage
surface,specimen_id_from_name,identifier_or_flag,str,0,0.0,48,,0.022756005056890013,False,identifier or file metadata
surface,date,identifier_or_flag,int64,0,0.0,33,96603595.02620938,0.03034134007585335,False,identifier or file metadata
surface,week,temporal,int64,0,0.0,25,106.33625758133431,0.0606826801517067,True,
surface,calendar_date,identifier_or_flag,str,0,0.0,33,,0.03034134007585335,False,identifier or file metadata
surface,campaign_id,tabular_metadata,str,0,0.0,2,,0.5448798988621998,True,
surface,series_id,tabular_metadata,str,0,0.0,9,,0.13653603034134007,True,
surface,split_group_treatment,tabular_metadata,str,0,0.0,9,,0.13653603034134007,True,
surface,treatment_protocol,tabular_metadata,str,0,0.0,10,,0.21238938053097345,True,
surface,treatment_coarse,tabular_metadata,str,0,0.0,7,,0.38558786346396967,True,
surface,treatment_label_coarse,tabular_metadata,str,0,0.0,5,,0.38558786346396967,True,
surface,n_steel_mesh,tabular_metadata,int64,0,0.0,2,2.2346973067259834,0.5448798988621998,True,
surface,nacl_pct,tabular_metadata,float64,0,0.0,2,0.5586743266814959,0.5448798988621998,True,
surface,terminal_week,temporal,int64,0,0.0,2,15.891180847829217,0.5448798988621998,False,terminal-only metadata
surface,terminal_days,temporal,int64,0,0.0,2,778.6678615436316,0.5448798988621998,False,terminal-only metadata
surface,image_filename,identifier_or_flag,str,0,0.0,791,,0.0012642225031605564,False,identifier or file metadata
surface,image_path,identifier_or_flag,str,0,0.0,791,,0.0012642225031605564,False,identifier or file metadata
surface,image_readable,identifier_or_flag,bool,0,0.0,1,0.0,1.0,False,identifier or file metadata
surface,image_width,identifier_or_flag,float64,0,0.0,1,0.0,1.0,False,identifier or file metadata
surface,image_height,identifier_or_flag,float64,0,0.0,3,0.56718782505721,0.9974715549936789,False,identifier or file metadata
surface,image_error,identifier_or_flag,float64,791,1.0,0,,1.0,False,identifier or file metadata
surface,observation_id,identifier_or_flag,str,0,0.0,791,,0.0012642225031605564,False,identifier or file metadata
surface,wire_area_loss_frac,target,float64,743,0.9393173198482933,48,0.019496363469503546,0.9393173198482933,False,target column for another stage
surface,wire_area_loss_pct,other,float64,743,0.9393173198482933,48,194.96363469503547,0.9393173198482933,False,excluded by modeling rules
surface,cover_mm,tabular_metadata,float64,0,0.0,48,2.7346294442221826,0.022756005056890013,True,
surface,has_structural_label,identifier_or_flag,bool,0,0.0,2,0.05707244475027603,0.9393173198482933,False,label-availability flag
surface,is_terminal_structural_row,identifier_or_flag,bool,0,0.0,2,0.05707244475027603,0.9393173198482933,False,label-availability flag
surface,img_rust_area_ratio_pct,image_mask,float64,0,0.0,698,37.69804722701133,0.08470290771175727,True,
surface,img_black_mask_ratio_pct,image_mask,float64,0,0.0,73,6.840569906658295e-06,0.7547408343868521,True,
surface,img_gray_mask_ratio_pct,image_mask,float64,0,0.0,693,3.470268202331654,0.07079646017699115,True,
surface,img_brightness_mean,image_color,float64,0,0.0,790,1037.7009309292334,0.0025284450063211127,True,
surface,img_brightness_std,image_color,float64,0,0.0,790,117.17253429274642,0.0025284450063211127,True,
surface,img_brightness_p10,image_color,float64,0,0.0,169,1934.726579077918,0.03792667509481669,True,
surface,img_brightness_p90,image_color,float64,0,0.0,101,617.859680903839,0.10240202275600506,True,
surface,img_contrast,image_color,float64,0,0.0,790,117.17253429274642,0.0025284450063211127,False,duplicate of img_brightness_std
surface,img_r_mean,image_color,float64,0,0.0,790,772.950730859678,0.0025284450063211127,True,
surface,img_g_mean,image_color,float64,0,0.0,790,1102.2138643009164,0.0025284450063211127,True,
surface,img_b_mean,image_color,float64,0,0.0,790,1759.4577283441772,0.0025284450063211127,True,
surface,img_r_std,image_color,float64,0,0.0,790,89.71922284792718,0.0025284450063211127,True,
surface,img_g_std,image_color,float64,0,0.0,790,145.0346061588336,0.0025284450063211127,True,
surface,img_b_std,image_color,float64,0,0.0,790,159.0780426152758,0.0025284450063211127,True,
surface,img_gray_hist_bin_0,image_histogram,float64,0,0.0,450,1.3775698142348905e-09,0.2402022756005057,True,
surface,img_gray_hist_bin_1,image_histogram,float64,0,0.0,626,1.4022240641285433e-07,0.14791403286978508,True,
surface,img_gray_hist_bin_2,image_histogram,float64,0,0.0,701,1.499979456918104e-06,0.07332490518331226,True,
surface,img_gray_hist_bin_3,image_histogram,float64,0,0.0,753,4.1392438866015665e-06,0.025284450063211124,True,
surface,img_gray_hist_bin_4,image_histogram,float64,0,0.0,773,1.8070969003674045e-05,0.018963337547408345,True,
surface,img_gray_hist_bin_5,image_histogram,float64,0,0.0,781,3.088102951845306e-05,0.010113780025284451,True,
surface,img_gray_hist_bin_6,image_histogram,float64,0,0.0,789,4.3151408607790263e-05,0.0025284450063211127,True,
surface,img_gray_hist_bin_7,image_histogram,float64,0,0.0,787,0.00012506640258964496,0.0025284450063211127,True,
surface,img_glcm_contrast,image_texture,float64,0,0.0,790,15.657011999674085,0.0025284450063211127,True,
surface,img_glcm_homogeneity,image_texture,float64,0,0.0,790,0.03171258602422447,0.0025284450063211127,True,
surface,img_glcm_energy,image_texture,float64,0,0.0,790,0.053777053824415916,0.0025284450063211127,True,
surface,img_lbp_mean,image_texture,float64,0,0.0,785,0.4062980163860398,0.0025284450063211127,True,
surface,img_lbp_std,image_texture,float64,0,0.0,790,0.29463374240387175,0.0025284450063211127,True,
surface,img_rust_blob_count,image_morphology,float64,0,0.0,455,329759.1923762582,0.08470290771175727,True,
surface,img_rust_blob_largest_ratio_pct,image_morphology,float64,0,0.0,656,18.610915522667877,0.08470290771175727,True,
surface,img_rust_blob_mean_ratio_pct,image_morphology,float64,0,0.0,710,9.644977602152942e-05,0.08470290771175727,True,
surface,img_rust_blob_eccentricity_mean,image_morphology,float64,0,0.0,717,0.04006862243023128,0.08596713021491782,True,
surface,img_rust_blob_eccentricity_max,image_morphology,float64,0,0.0,43,0.07895957104043516,0.8558786346396966,True,
surface,img_strip_count,image_spatial,float64,0,0.0,1,0.0,1.0,False,constant feature for the current extraction pipeline
surface,img_strip_rust_mean_pct,image_spatial,float64,0,0.0,705,37.83797868590255,0.08470290771175727,True,
surface,img_strip_rust_std_pct,image_spatial,float64,0,0.0,717,14.096132184226871,0.08470290771175727,True,
surface,img_strip_rust_max_pct,image_spatial,float64,0,0.0,674,202.39595742333347,0.08470290771175727,True,
surface,img_strip_rust_p90_pct,image_spatial,float64,0,0.0,661,122.18740550414375,0.14285714285714285,True,
surface,img_strip_high_count,image_spatial,float64,0,0.0,47,135.23648322104688,0.5853350189633375,True,
surface,img_strip_peak_location_cm,image_spatial,float64,0,0.0,46,66.69073448329588,0.18710493046776233,True,
surface,img_rust_center_of_mass_cm,image_spatial,float64,0,0.0,724,29.71262385009394,0.08470290771175727,True,
surface,img_edge_to_center_rust_ratio,image_spatial,float64,0,0.0,715,7432499139.200011,0.08470290771175727,False,unstable ratio in low-rust images
hidden_damage,sample_name,identifier_or_flag,str,0,0.0,48,,0.020833333333333332,False,identifier or file metadata
hidden_damage,specimen_id,identifier_or_flag,str,0,0.0,48,,0.020833333333333332,False,identifier or file metadata
hidden_damage,n_steel_mesh_raw,raw_source,int64,0,0.0,2,2.297872340425532,0.5,False,raw source column
hidden_damage,treatment_raw,raw_source,str,0,0.0,7,,0.375,False,raw source column
hidden_damage,treatment_label_raw,raw_source,str,0,0.0,5,,0.375,False,raw source column
hidden_damage,ageing_days,temporal,int64,0,0.0,2,800.6808510638298,0.5,True,
hidden_damage,surface_total_rust_pct,target,float64,0,0.0,46,100.49532248226949,0.0625,False,target column for another stage
hidden_damage,surface_total_rust_category,target,int64,0,0.0,4,0.9215425531914894,0.4583333333333333,False,categorical target label
hidden_damage,peak_rust_pct,target,float64,0,0.0,47,253.91950795035456,0.041666666666666664,False,target column for another stage
hidden_damage,peak_rust_category,target,int64,0,0.0,4,1.3404255319148937,0.375,False,categorical target label
hidden_damage,peak_rust_location_cm,other,float64,0,0.0,9,51.93390195035461,0.25,False,excluded by modeling rules
hidden_damage,cover_mm_raw,raw_source,float64,0,0.0,48,2.734204078014184,0.020833333333333332,False,raw source column
hidden_damage,wire_area_loss_raw,raw_source,float64,0,0.0,48,0.019496363469503546,0.020833333333333332,False,raw source column
hidden_damage,ultimate_load_kn,target,float64,0,0.0,39,0.14677021276595748,0.041666666666666664,False,target column for another stage
hidden_damage,specimen_id_from_name,identifier_or_flag,str,0,0.0,48,,0.020833333333333332,False,identifier or file metadata
hidden_damage,date,identifier_or_flag,int64,0,0.0,2,99207560.17021276,0.5,False,identifier or file metadata
hidden_damage,week,temporal,int64,0,0.0,2,16.340425531914892,0.5,True,
hidden_damage,calendar_date,identifier_or_flag,str,0,0.0,2,,0.5,False,identifier or file metadata
hidden_damage,campaign_id,tabular_metadata,str,0,0.0,2,,0.5,True,
hidden_damage,series_id,tabular_metadata,str,0,0.0,9,,0.14583333333333334,True,
