specimen_id,best_family,criterion,best_model_name,last_observed_day,last_observed_predicted_wire_area_loss_frac,params
D01,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.3190920904244996,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.17385883727857485, 0.17385883727857485, 0.26277919588726967, 0.26277919588726967, 0.26277919588726967, 0.26277919588726967, 0.26277919588726967, 0.26277919588726967, 0.2627791958872697, 0.2627791958872697, 0.2627791958872697, 0.2627791958872697, 0.3190920904244996, 0.3190920904244996, 0.3190920904244996, 0.3190920904244996, 0.3190920904244996, 0.3190920904244996]}"
D02,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.32504858650109847,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.20234892965213883, 0.2521353949814434, 0.2521353949814434, 0.2521353949814434, 0.2602039190549639, 0.2602039190549639, 0.2602039190549639, 0.2632005254089015, 0.2632005254089015, 0.293643219610727, 0.293643219610727, 0.293643219610727, 0.293643219610727, 0.293643219610727, 0.293643219610727, 0.293643219610727, 0.29364321961072704, 0.32504858650109847]}"
D03,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.3234128535023996,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.13085342819540305, 0.13085342819540305, 0.1972339997380535, 0.1972339997380535, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.3234128535023996, 0.3234128535023996, 0.3234128535023996, 0.3234128535023996, 0.3234128535023996, 0.3234128535023996]}"
D04,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.28488694903163236,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2840491930410164, 0.2840491930410164, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.28488694903163236, 0.28488694903163236, 0.28488694903163236, 0.28488694903163236, 0.28488694903163236, 0.28488694903163236]}"
D05,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.2913011671169757,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.10797457303641106, 0.10797457303641106, 0.17849627879220822, 0.17849627879220822, 0.19633995272447965, 0.19938430293655557, 0.2102970316285498, 0.23500667608845416, 0.23500667608845416, 0.23596341375781982, 0.23596341375781982, 0.24067292509046292, 0.25436316944897663, 0.2913011671169757, 0.2913011671169757, 0.2913011671169757, 0.2913011671169757, 0.2913011671169757]}"
D06,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.32440856362644144,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2312999361349605, 0.24741929157199954, 0.31181622616408944, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3244085636264415, 0.3244085636264415, 0.3244085636264415, 0.3244085636264415, 0.3244085636264415, 0.3244085636264415]}"
E01,monotone_isotonic,-451.7563858711689,CatBoost,252.0,0.38732815065933524,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.26771478152913764, 0.26771478152913764, 0.26771478152913764, 0.3109388573763375, 0.3109388573763375, 0.3109388573763375, 0.3109388573763375, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.38732815065933524]}"
E02,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.3149516745623388,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.23591716141461339, 0.23591716141461339, 0.2597735049406874, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.3149516745623388, 0.3149516745623388, 0.3149516745623388]}"
E03,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.35164846620316703,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.24897118387924397, 0.24897118387924397, 0.24897118387924397, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.2624562391391968, 0.2624562391391968, 0.35164846620316703]}"
E04,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.5057758135346296,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.14485277601223198, 0.14485277601223198, 0.2582290483931263, 0.2582290483931263, 0.2582290483931263, 0.2582290483931263, 0.2582290483931263, 0.33033824058454103, 0.33033824058454103, 0.33033824058454103, 0.33033824058454103, 0.33033824058454103, 0.33033824058454103, 0.33033824058454103, 0.35558434805841416, 0.35558434805841416, 0.35558434805841416, 0.5057758135346296]}"
