specimen_id,family,criterion,rmse,fit_succeeded,params
D01,linear,-130.19134825098092,0.022891203929686275,True,"{""coeffs"": [0.000488413604550855, 0.21240927020209868]}"
D01,log_time,-130.73826486512024,0.022546066151728498,True,"{""coeffs"": [0.028299035804266678, 0.1476947023761773]}"
D01,logistic,-128.82179209036605,0.02194430935709628,True,"{""params"": [0.3333577165555113, 0.010582017607220108, -36.68194030389976]}"
D01,gompertz,-129.2194826818695,0.021703225503337434,True,"{""params"": [0.332739282119901, 0.5338929419214041, 0.009593066853157842]}"
D01,monotone_isotonic,-479.042939556472,3.204937810639273e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.17385883727857485, 0.17385883727857485, 0.26277919588726967, 0.26277919588726967, 0.26277919588726967, 0.26277919588726967, 0.26277919588726967, 0.26277919588726967, 0.2627791958872697, 0.2627791958872697, 0.2627791958872697, 0.2627791958872697, 0.3190920904244996, 0.3190920904244996, 0.3190920904244996, 0.3190920904244996, 0.3190920904244996, 0.3190920904244996]}"
D02,linear,-154.7902035575665,0.011558847830797272,True,"{""coeffs"": [0.0003255547677555433, 0.23494170295488728]}"
D02,log_time,-154.62154844825736,0.011613126507851335,True,"{""coeffs"": [0.018732921859884177, 0.19237517650718877]}"
D02,logistic,-154.14495948102737,0.01086000235460914,True,"{""params"": [0.325547128227749, 0.008007925377073124, -103.50575060356863]}"
D02,gompertz,-154.32751443795058,0.010805070992222008,True,"{""params"": [0.32848378824376195, 0.37429093619872394, 0.00692805403154307]}"
D02,monotone_isotonic,-479.042939556472,3.461728484212687e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.20234892965213883, 0.2521353949814434, 0.2521353949814434, 0.2521353949814434, 0.2602039190549639, 0.2602039190549639, 0.2602039190549639, 0.2632005254089015, 0.2632005254089015, 0.293643219610727, 0.293643219610727, 0.293643219610727, 0.293643219610727, 0.293643219610727, 0.293643219610727, 0.293643219610727, 0.29364321961072704, 0.32504858650109847]}"
D03,linear,-126.77615360303545,0.025169155256703477,True,"{""coeffs"": [0.0007363454406726333, 0.1653441821153862]}"
D03,log_time,-119.8455434759115,0.030512492664591103,True,"{""coeffs"": [0.04027836820867108, 0.07823168002980896]}"
D03,logistic,-126.93348922516066,0.023126073607308662,True,"{""params"": [0.34169408202831875, 0.012802520783008298, 20.614012541605973]}"
D03,gompertz,-127.77748117968804,0.022590206859755695,True,"{""params"": [0.34754909290188385, 0.8879675563151962, 0.010225344104547195]}"
D03,monotone_isotonic,-479.042939556472,3.700743415417188e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.13085342819540305, 0.13085342819540305, 0.1972339997380535, 0.1972339997380535, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.2484652179530839, 0.3234128535023996, 0.3234128535023996, 0.3234128535023996, 0.3234128535023996, 0.3234128535023996, 0.3234128535023996]}"
D04,linear,-297.17003222291896,0.0002214508059791081,True,"{""coeffs"": [1.9052280488342996e-06, 0.28456269736274986]}"
D04,log_time,-311.4661998560272,0.00014886973332279622,True,"{""coeffs"": [0.00016736166302079922, 0.28406066930264096]}"
D04,logistic,-294.2796801933874,0.00022145068461924467,True,"{""params"": [0.5678909901567482, 1.3419824557419166e-05, -323.9483388897282]}"
D04,gompertz,-319.62691388679053,0.00010951667898546887,True,"{""params"": [0.28490304717556497, 0.0033695876736555305, 0.047733223020736175]}"
D04,monotone_isotonic,-479.042939556472,4.1375569220787883e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2840491930410164, 0.2840491930410164, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.2848869490316323, 0.28488694903163236, 0.28488694903163236, 0.28488694903163236, 0.28488694903163236, 0.28488694903163236, 0.28488694903163236]}"
D05,linear,-137.6388421219033,0.0186133282862894,True,"{""coeffs"": [0.0007099027123024246, 0.14011208761639973]}"
D05,log_time,-126.69000446738755,0.025229457963676098,True,"{""coeffs"": [0.03872833022411444, 0.05658177201330997]}"
D05,logistic,-142.77069084971706,0.014895191456746714,True,"{""params"": [0.3028102157459658, 0.014459693412587002, 27.553548041133382]}"
D05,gompertz,-144.39158484601867,0.014239411905889735,True,"{""params"": [0.31017635582805536, 0.9764561139378489, 0.01115109789281531]}"
D05,monotone_isotonic,-479.042939556472,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.10797457303641106, 0.10797457303641106, 0.17849627879220822, 0.17849627879220822, 0.19633995272447965, 0.19938430293655557, 0.2102970316285498, 0.23500667608845416, 0.23500667608845416, 0.23596341375781982, 0.23596341375781982, 0.24067292509046292, 0.25436316944897663, 0.2913011671169757, 0.2913011671169757, 0.2913011671169757, 0.2913011671169757, 0.2913011671169757]}"
D06,linear,-137.36183198282126,0.018757105202016355,True,"{""coeffs"": [0.00022609461532303299, 0.28154221539922686]}"
D06,log_time,-157.76361592134896,0.010642510454646802,True,"{""coeffs"": [0.01764437503889757, 0.2316766785286458]}"
D06,logistic,-165.04885582778826,0.008022102286080248,True,"{""params"": [0.319721337288902, 0.05693733542360195, -15.081279369978972]}"
D06,gompertz,-164.39300993970429,0.00816958783977403,True,"{""params"": [0.31990898543833146, 0.35225403235473657, 0.05102504041282815]}"
D06,monotone_isotonic,-479.042939556472,3.204937810639273e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2312999361349605, 0.24741929157199954, 0.31181622616408944, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3138404090468767, 0.3244085636264415, 0.3244085636264415, 0.3244085636264415, 0.3244085636264415, 0.3244085636264415, 0.3244085636264415]}"
E01,linear,-133.70796829212168,0.016585160767063796,True,"{""coeffs"": [0.0002677747412794017, 0.27902760988016123]}"
E01,log_time,-131.0719919507373,0.017922144695851367,True,"{""coeffs"": [0.01460319195397477, 0.24792841420229833]}"
E01,logistic,-131.02938101591417,0.01650990560268619,True,"{""params"": [0.3442727254593348, 0.009702081179595496, -133.01284317752928]}"
E01,gompertz,-131.14425945403727,0.01645421643700726,True,"{""params"": [0.34527382274666707, 0.24826696187593025, 0.00892313681481996]}"
E01,monotone_isotonic,-451.7563858711689,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.26771478152913764, 0.26771478152913764, 0.26771478152913764, 0.3109388573763375, 0.3109388573763375, 0.3109388573763375, 0.3109388573763375, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.3180218093280674, 0.38732815065933524]}"
E02,linear,-135.5030547202696,0.019751023773320806,True,"{""coeffs"": [0.00023111596251828851, 0.27356476389362416]}"
E02,log_time,-149.2391961271682,0.01348591545978264,True,"{""coeffs"": [0.017347158943121013, 0.22561055962236307]}"
E02,logistic,-161.20587988831673,0.008925834736494824,True,"{""params"": [0.3152469303945476, 0.03977671300295159, -22.014627337928797]}"
E02,gompertz,-160.1373162644109,0.009194745452845543,True,"{""params"": [0.3154509227839798, 0.34722157817034105, 0.03583912078693127]}"
E02,monotone_isotonic,-479.042939556472,4.5324665183683945e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.23591716141461339, 0.23591716141461339, 0.2597735049406874, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.312705013397354, 0.3149516745623388, 0.3149516745623388, 0.3149516745623388]}"
E03,linear,-138.87022183290637,0.017987425070351195,True,"{""coeffs"": [0.00015909454983421085, 0.24586038160842985]}"
E03,log_time,-135.37027568874365,0.019824006109399536,True,"{""coeffs"": [0.006537170700360802, 0.23652512267264594]}"
E03,logistic,-136.20719088285645,0.01787419198805344,True,"{""params"": [647.228595218765, 0.0006171864106257219, 12760.612900341399]}"
E03,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
E03,monotone_isotonic,-479.042939556472,4.671959549952105e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.24897118387924397, 0.24897118387924397, 0.24897118387924397, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.26245623913919675, 0.2624562391391968, 0.2624562391391968, 0.35164846620316703]}"
E04,linear,-113.81244246238063,0.0360794097195809,True,"{""coeffs"": [0.0009526399585661478, 0.1880656481268493]}"
E04,log_time,-106.15266189550522,0.04463391594778621,True,"{""coeffs"": [0.051000954197023066, 0.08022223854048842]}"
E04,logistic,-110.25124371587353,0.03675801943495496,True,"{""params"": [0.5140907966504195, 0.007927782665693514, 70.85190582270809]}"
E04,gompertz,-110.83471007488782,0.03616706936968127,True,"{""params"": [0.5196100681787327, 1.0653116634985287, 0.006024013582092389]}"
