feature,importance
img_r_mean,0.13054559
img_rust_blob_eccentricity_mean,0.06670356
series_id_D,0.063231684
img_rust_blob_count,0.059395403
img_brightness_std,0.050131865
img_gray_hist_bin_2,0.047988623
img_brightness_p90,0.04617116
img_strip_rust_max_pct,0.043839503
img_b_std,0.041564368
img_lbp_std,0.03885871
img_strip_high_count,0.03422482
img_lbp_mean,0.03359554
img_glcm_contrast,0.030820696
img_gray_hist_bin_5,0.028835969
img_gray_hist_bin_0,0.027111383
img_gray_hist_bin_6,0.024826154
img_rust_blob_mean_ratio_pct,0.02379879
img_gray_hist_bin_4,0.022547858
treatment_coarse_False,0.02051483
img_brightness_mean,0.020416895
cover_mm,0.020149412
img_b_mean,0.018924767
img_brightness_p10,0.01879555
img_strip_peak_location_cm,0.018791545
img_gray_mask_ratio_pct,0.012040825
img_rust_area_ratio_pct,0.010966449
img_rust_center_of_mass_cm,0.007920288
img_black_mask_ratio_pct,0.0065326234
img_gray_hist_bin_3,0.005789136
img_rust_blob_largest_ratio_pct,0.0049314797
img_glcm_homogeneity,0.0042603114
img_strip_rust_std_pct,0.0036870362
img_glcm_energy,0.002647305
ageing_days,0.0025453083
img_gray_hist_bin_7,0.002146182
img_r_std,0.0020408721
treatment_protocol_glass_based_compound,0.00063124846
treatment_coarse_VF,0.0005618942
series_id_S1,0.0004977851
img_strip_rust_p90_pct,0.00029604288
img_gray_hist_bin_1,0.00028349916
series_id_S5,0.00027219366
treatment_coarse_MI,8.204939e-05
series_id_F,3.643265e-05
series_id_E,1.9622965e-05
treatment_label_coarse_MI,1.8711491e-05
treatment_coarse_SA,8.004647e-06
series_id_S4,0.0
treatment_protocol_mixed_in_inhibitor,0.0
treatment_label_coarse_G,0.0
treatment_label_coarse_SA,0.0
treatment_label_coarse_VF,0.0
campaign_id_campaign_1,0.0
treatment_protocol_no_treatment_control,0.0
campaign_id_campaign_2,0.0
treatment_protocol_paint_campaign2,0.0
treatment_protocol_paint_only,0.0
treatment_protocol_paint_plus_surface_inhibitor,0.0
treatment_protocol_surface_applied_inhibitor_campaign1,0.0
treatment_protocol_surface_inhibitor_brush_campaign2,0.0
treatment_protocol_surface_inhibitor_plus_glass_compound,0.0
treatment_label_coarse_D,0.0
treatment_coarse_SA_VF,0.0
series_id_S3,0.0
treatment_coarse_SA_PA,0.0
treatment_coarse_PA,0.0
series_id_G,0.0
series_id_S2,0.0
split_group_treatment_S5_VF,0.0
split_group_treatment_S4_SA_VF,0.0
split_group_treatment_S3_PA_SA,0.0
split_group_treatment_S2_SA,0.0
split_group_treatment_S1_MI,0.0
split_group_treatment_G_PAINT,0.0
split_group_treatment_F_SA_BRUSH,0.0
split_group_treatment_E_SA_SPRAY,0.0
split_group_treatment_D_NO,0.0
treatment_protocol_surface_inhibitor_spray_campaign2,0.0
