feature,importance
img_rust_blob_eccentricity_mean,15.721829932537876
img_lbp_mean,7.295810754561147
img_b_std,5.904310117738377
img_strip_peak_location_cm,5.581893341140451
img_lbp_std,4.957508082028435
img_brightness_std,4.433043641629881
img_gray_hist_bin_5,4.098325572066195
img_gray_mask_ratio_pct,3.513246881559782
img_black_mask_ratio_pct,3.209484628582452
img_rust_blob_count,2.9090607360727776
img_gray_hist_bin_6,2.8656750003623697
img_r_mean,2.7625737325715436
img_gray_hist_bin_3,2.619803389083853
img_strip_rust_std_pct,2.595871684839719
img_gray_hist_bin_7,2.5835121848787392
img_glcm_energy,2.534310141249269
img_rust_blob_mean_ratio_pct,2.2683281819230725
img_brightness_p90,2.184327218204504
img_strip_rust_max_pct,2.086839120065388
img_glcm_contrast,1.9518535618493977
img_strip_high_count,1.914117406284096
img_r_std,1.8526579823176101
img_gray_hist_bin_0,1.8171520069555944
img_rust_center_of_mass_cm,1.6619964362736688
img_rust_blob_largest_ratio_pct,1.657642892369452
img_gray_hist_bin_4,1.6209167435765668
img_gray_hist_bin_2,1.5616452822397269
img_brightness_p10,1.119479914352225
img_rust_area_ratio_pct,1.0182449277140886
img_brightness_mean,0.9179938542423216
img_glcm_homogeneity,0.8511564819346317
img_b_mean,0.6917933046807444
img_strip_rust_p90_pct,0.6628620138898718
img_gray_hist_bin_1,0.5747328502241372
