sample_name,specimen_id,group_value,strategy,split_id,membership
D01-20240110-0W,D01,D01,group_shuffle,gss_0,train
D01-20240124-2W,D01,D01,group_shuffle,gss_0,train
D01-20240207-4W,D01,D01,group_shuffle,gss_0,train
D01-20240221-6W,D01,D01,group_shuffle,gss_0,train
D01-20240306-8W,D01,D01,group_shuffle,gss_0,train
D01-20240320-10W,D01,D01,group_shuffle,gss_0,train
D01-20240405-12W,D01,D01,group_shuffle,gss_0,train
D01-20240417-14W,D01,D01,group_shuffle,gss_0,train
D01-20240508-17W,D01,D01,group_shuffle,gss_0,train
D01-20240522-19W,D01,D01,group_shuffle,gss_0,train
D01-20240529-20W,D01,D01,group_shuffle,gss_0,train
D01-20240619-23W,D01,D01,group_shuffle,gss_0,train
D01-20240626-24W,D01,D01,group_shuffle,gss_0,train
D01-20240710-26W,D01,D01,group_shuffle,gss_0,train
D01-20240724-28W,D01,D01,group_shuffle,gss_0,train
D01-20240807-30W,D01,D01,group_shuffle,gss_0,train
D01-20240902-33W,D01,D01,group_shuffle,gss_0,train
D01-20240918-36W,D01,D01,group_shuffle,gss_0,train
D02-20240110-0W,D02,D02,group_shuffle,gss_0,train
D02-20240124-2W,D02,D02,group_shuffle,gss_0,train
D02-20240207-4W,D02,D02,group_shuffle,gss_0,train
D02-20240221-6W,D02,D02,group_shuffle,gss_0,train
D02-20240306-8W,D02,D02,group_shuffle,gss_0,train
D02-20240320-10W,D02,D02,group_shuffle,gss_0,train
D02-20240405-12W,D02,D02,group_shuffle,gss_0,train
D02-20240417-14W,D02,D02,group_shuffle,gss_0,train
D02-20240508-17W,D02,D02,group_shuffle,gss_0,train
D02-20240522-19W,D02,D02,group_shuffle,gss_0,train
D02-20240529-20W,D02,D02,group_shuffle,gss_0,train
D02-20240619-23W,D02,D02,group_shuffle,gss_0,train
D02-20240626-24W,D02,D02,group_shuffle,gss_0,train
D02-20240710-26W,D02,D02,group_shuffle,gss_0,train
D02-20240724-28W,D02,D02,group_shuffle,gss_0,train
D02-20240807-30W,D02,D02,group_shuffle,gss_0,train
D02-20240902-33W,D02,D02,group_shuffle,gss_0,train
D02-20240918-36W,D02,D02,group_shuffle,gss_0,train
D03-20240110-0W,D03,D03,group_shuffle,gss_0,train
D03-20240124-2W,D03,D03,group_shuffle,gss_0,train
D03-20240207-4W,D03,D03,group_shuffle,gss_0,train
D03-20240221-6W,D03,D03,group_shuffle,gss_0,train
D03-20240306-8W,D03,D03,group_shuffle,gss_0,train
D03-20240320-10W,D03,D03,group_shuffle,gss_0,train
D03-20240405-12W,D03,D03,group_shuffle,gss_0,train
D03-20240417-14W,D03,D03,group_shuffle,gss_0,train
D03-20240508-17W,D03,D03,group_shuffle,gss_0,train
D03-20240522-19W,D03,D03,group_shuffle,gss_0,train
D03-20240529-20W,D03,D03,group_shuffle,gss_0,train
D03-20240619-23W,D03,D03,group_shuffle,gss_0,train
D03-20240626-24W,D03,D03,group_shuffle,gss_0,train
