path,classification,reason
.DS_Store,KEEP,Source/config or retained local material; no functional change.
.gitignore,KEEP,Source/config or retained local material; no functional change.
.idea/.gitignore,UNCERTAIN — DO NOT TOUCH,Ownership or historical role does not justify removal; retain unchanged.
.idea/corrosion.iml,UNCERTAIN — DO NOT TOUCH,Ownership or historical role does not justify removal; retain unchanged.
.idea/inspectionProfiles/profiles_settings.xml,UNCERTAIN — DO NOT TOUCH,Ownership or historical role does not justify removal; retain unchanged.
.idea/misc.xml,UNCERTAIN — DO NOT TOUCH,Ownership or historical role does not justify removal; retain unchanged.
.idea/modules.xml,UNCERTAIN — DO NOT TOUCH,Ownership or historical role does not justify removal; retain unchanged.
.idea/vcs.xml,UNCERTAIN — DO NOT TOUCH,Ownership or historical role does not justify removal; retain unchanged.
.idea/workspace.xml,UNCERTAIN — DO NOT TOUCH,Ownership or historical role does not justify removal; retain unchanged.
AUGMENTATION_PLAN.md,ARCHIVE,"Historical planning, interpretation, audit, meeting narrative, or task prompt; current essentials extracted into curated project docs."
CLAUDE.md,ARCHIVE_REPLACE,Keep a concise current entry guide; preserve the original documentation and its claims in the archive.
DECISIONS.md,ARCHIVE,"Historical planning, interpretation, audit, meeting narrative, or task prompt; current essentials extracted into curated project docs."
Data/.DS_Store,KEEP,Source/config or retained local material; no functional change.
Data/Images_Dataset_A-Z-1.xlsx,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_Dataset_A-Z-1_augmented.csv,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_Dataset_A-Z.xlsx,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240110-0W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240124-2W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240207-4W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240221-6W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240306-8W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240320-10W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240405-12W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240417-14W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240508-17W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240522-19W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240529-20W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240619-23W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240626-24W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
Data/Images_dataset/D01-20240710-26W.png,GENERATED OUTPUT — PRESERVE,"Scientific data, result, model, manifest, manuscript source, figure or output; bytes fixed."
