specimen_id,campaign_id,series_id,split_group_treatment,treatment_protocol,treatment_coarse,treatment_label_coarse,n_steel_mesh,nacl_pct,terminal_week,terminal_days
D01,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252
D02,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252
D03,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252
D04,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252
D05,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252
D06,campaign_2,D,D_NO,no_treatment_control,False,D,4,5.0,36,252
E01,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,36,252
E02,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,36,252
E03,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,36,252
E04,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,36,252
E05,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,36,252
E06,campaign_2,E,E_SA_SPRAY,surface_inhibitor_spray_campaign2,SA,SA,4,5.0,36,252
F01,campaign_2,F,F_SA_BRUSH,surface_inhibitor_brush_campaign2,SA,SA,4,5.0,36,252
F02,campaign_2,F,F_SA_BRUSH,surface_inhibitor_brush_campaign2,SA,SA,4,5.0,36,252
F03,campaign_2,F,F_SA_BRUSH,surface_inhibitor_brush_campaign2,SA,SA,4,5.0,36,252
F04,campaign_2,F,F_SA_BRUSH,surface_inhibitor_brush_campaign2,SA,SA,4,5.0,36,252
F05,campaign_2,F,F_SA_BRUSH,surface_inhibitor_brush_campaign2,SA,SA,4,5.0,36,252
F06,campaign_2,F,F_SA_BRUSH,surface_inhibitor_brush_campaign2,SA,SA,4,5.0,36,252
G01,campaign_2,G,G_PAINT,paint_campaign2,PA,G,4,5.0,36,252
G02,campaign_2,G,G_PAINT,paint_campaign2,PA,G,4,5.0,36,252
G03,campaign_2,G,G_PAINT,paint_campaign2,PA,G,4,5.0,36,252
G04,campaign_2,G,G_PAINT,paint_campaign2,PA,G,4,5.0,36,252
G05,campaign_2,G,G_PAINT,paint_campaign2,PA,G,4,5.0,36,252
G06,campaign_2,G,G_PAINT,paint_campaign2,PA,G,4,5.0,36,252
S1MI01,campaign_1,S1,S1_MI,no_treatment_control,False,D,7,3.5,28,196
S1MI02,campaign_1,S1,S1_MI,mixed_in_inhibitor,MI,MI,7,3.5,28,196
S1MI03,campaign_1,S1,S1_MI,mixed_in_inhibitor,MI,MI,7,3.5,28,196
S1MI04,campaign_1,S1,S1_MI,mixed_in_inhibitor,MI,MI,7,3.5,28,196
S1MI05,campaign_1,S1,S1_MI,mixed_in_inhibitor,MI,MI,7,3.5,28,196
S1MI06,campaign_1,S1,S1_MI,mixed_in_inhibitor,MI,MI,7,3.5,28,196
S1MI07,campaign_1,S1,S1_MI,mixed_in_inhibitor,MI,MI,7,3.5,28,196
S2SA01,campaign_1,S2,S2_SA,no_treatment_control,False,D,7,3.5,28,196
S2SA02,campaign_1,S2,S2_SA,surface_applied_inhibitor_campaign1,SA,SA,7,3.5,28,196
S2SA03,campaign_1,S2,S2_SA,surface_applied_inhibitor_campaign1,SA,SA,7,3.5,28,196
S2SA04,campaign_1,S2,S2_SA,surface_applied_inhibitor_campaign1,SA,SA,7,3.5,28,196
S2SA05,campaign_1,S2,S2_SA,surface_applied_inhibitor_campaign1,SA,SA,7,3.5,28,196
S2SA06,campaign_1,S2,S2_SA,surface_applied_inhibitor_campaign1,SA,SA,7,3.5,28,196
S2SA07,campaign_1,S2,S2_SA,surface_applied_inhibitor_campaign1,SA,SA,7,3.5,28,196
S3PA01,campaign_1,S3,S3_PA_SA,paint_only,PA,G,7,3.5,28,196
S3PA02,campaign_1,S3,S3_PA_SA,paint_plus_surface_inhibitor,SA_PA,G,7,3.5,28,196
S3PA03,campaign_1,S3,S3_PA_SA,paint_plus_surface_inhibitor,SA_PA,G,7,3.5,28,196
S3PA04,campaign_1,S3,S3_PA_SA,paint_plus_surface_inhibitor,SA_PA,G,7,3.5,28,196
S4SAVF01,campaign_1,S4,S4_SA_VF,no_treatment_control,False,D,7,3.5,28,196
S4SAVF02,campaign_1,S4,S4_SA_VF,surface_inhibitor_plus_glass_compound,SA_VF,VF,7,3.5,28,196
S4SAVF03,campaign_1,S4,S4_SA_VF,surface_inhibitor_plus_glass_compound,SA_VF,VF,7,3.5,28,196
S5VF01,campaign_1,S5,S5_VF,no_treatment_control,False,D,7,3.5,28,196
S5VF02,campaign_1,S5,S5_VF,glass_based_compound,VF,VF,7,3.5,28,196
S5VF03,campaign_1,S5,S5_VF,glass_based_compound,VF,VF,7,3.5,28,196
