feature,importance
campaign_id_campaign_1,0.44785628
ageing_days,0.3317438
img_brightness_p10,0.019872105
img_glcm_energy,0.019351834
img_r_mean,0.019212134
img_lbp_std,0.017404778
img_glcm_homogeneity,0.016821302
img_rust_blob_eccentricity_mean,0.011734307
img_glcm_contrast,0.010229002
img_b_std,0.009470197
img_rust_blob_count,0.008842669
img_rust_blob_mean_ratio_pct,0.008433374
img_brightness_mean,0.007844851
img_gray_hist_bin_2,0.007782515
img_gray_hist_bin_3,0.006375808
img_strip_rust_max_pct,0.005069217
img_strip_peak_location_cm,0.0048935856
img_b_mean,0.0042871633
cover_mm,0.0040355814
img_gray_mask_ratio_pct,0.0038226475
img_rust_area_ratio_pct,0.0035414433
series_id_S5,0.0034389994
img_rust_center_of_mass_cm,0.0033379446
img_strip_high_count,0.00333143
img_brightness_p90,0.0032782776
img_gray_hist_bin_1,0.0029987441
img_rust_blob_largest_ratio_pct,0.002619619
img_strip_rust_p90_pct,0.0025230907
img_gray_hist_bin_6,0.0020686293
img_gray_hist_bin_0,0.0017053074
img_gray_hist_bin_4,0.001637412
img_lbp_mean,0.0015156087
img_brightness_std,0.00086247193
img_r_std,0.0005397491
img_gray_hist_bin_5,0.00043789938
treatment_label_coarse_SA,0.00024622589
series_id_S2,0.00017389825
img_black_mask_ratio_pct,0.00016432299
series_id_E,0.00015914529
img_gray_hist_bin_7,0.00011784106
treatment_coarse_SA,0.00011742738
treatment_protocol_surface_applied_inhibitor_campaign1,2.7382268e-05
series_id_F,2.4301722e-05
img_strip_rust_std_pct,2.4173498e-05
treatment_coarse_False,2.2666787e-05
split_group_treatment_E_SA_SPRAY,2.8023687e-06
series_id_D,0.0
treatment_label_coarse_VF,0.0
treatment_label_coarse_D,0.0
treatment_label_coarse_G,0.0
treatment_label_coarse_MI,0.0
treatment_protocol_mixed_in_inhibitor,0.0
treatment_protocol_glass_based_compound,0.0
treatment_coarse_SA_VF,0.0
treatment_protocol_no_treatment_control,0.0
treatment_protocol_paint_campaign2,0.0
treatment_protocol_paint_only,0.0
treatment_protocol_paint_plus_surface_inhibitor,0.0
treatment_protocol_surface_inhibitor_brush_campaign2,0.0
treatment_protocol_surface_inhibitor_plus_glass_compound,0.0
treatment_coarse_VF,0.0
treatment_coarse_PA,0.0
treatment_coarse_SA_PA,0.0
treatment_coarse_MI,0.0
split_group_treatment_S5_VF,0.0
split_group_treatment_S4_SA_VF,0.0
split_group_treatment_S3_PA_SA,0.0
split_group_treatment_S2_SA,0.0
split_group_treatment_S1_MI,0.0
split_group_treatment_G_PAINT,0.0
split_group_treatment_F_SA_BRUSH,0.0
split_group_treatment_D_NO,0.0
series_id_S4,0.0
series_id_S3,0.0
campaign_id_campaign_2,0.0
series_id_S1,0.0
series_id_G,0.0
treatment_protocol_surface_inhibitor_spray_campaign2,0.0
