feature,importance
img_rust_blob_eccentricity_mean,13.777550389272786
img_lbp_mean,10.220966582531458
cover_mm,6.467820050268469
img_strip_peak_location_cm,4.057385980213959
img_lbp_std,3.9986368664601017
img_gray_hist_bin_6,3.758041829319374
img_b_std,3.5905189586498296
ageing_days,3.0769028090389305
img_brightness_std,2.9629530858141178
img_glcm_contrast,2.655099228509077
img_glcm_homogeneity,2.3060493170671474
img_r_mean,2.2846406147467113
img_rust_blob_count,2.275152367343991
img_r_std,2.216019947373542
treatment_coarse_SA,1.8833289214980775
img_gray_mask_ratio_pct,1.8636218776672868
img_rust_blob_mean_ratio_pct,1.7863567789673036
img_strip_rust_max_pct,1.7271786894528758
img_gray_hist_bin_4,1.6956558290321981
img_strip_rust_std_pct,1.6771056200853076
img_gray_hist_bin_7,1.5683084898285449
img_gray_hist_bin_2,1.5534158272095455
img_gray_hist_bin_0,1.522012816875774
img_black_mask_ratio_pct,1.4392285497870994
img_rust_center_of_mass_cm,1.39726910661418
img_gray_hist_bin_1,1.3285894986026405
campaign_id_campaign_2,1.2427946069394062
img_rust_blob_largest_ratio_pct,1.2099680277536806
img_brightness_p90,1.1950304788214012
img_gray_hist_bin_3,1.0399111997109405
series_id_S3,1.0381590858439118
img_strip_high_count,1.0088090050501126
img_strip_rust_p90_pct,0.9758227981911872
img_gray_hist_bin_5,0.895719042044128
img_glcm_energy,0.8647890038310132
series_id_F,0.8393861070170571
img_brightness_mean,0.7502315763832668
img_brightness_p10,0.724924203134168
treatment_label_coarse_G,0.5855882202649869
treatment_label_coarse_SA,0.5098904821272308
img_rust_area_ratio_pct,0.480780349233643
treatment_protocol_paint_campaign2,0.4465052162792948
treatment_protocol_surface_inhibitor_brush_campaign2,0.36391966798246467
series_id_S4,0.32334473041146755
img_b_mean,0.2969206612389569
treatment_coarse_MI,0.24908536121968256
split_group_treatment_S3_PA_SA,0.21453452993447167
split_group_treatment_F_SA_BRUSH,0.19191923857004053
split_group_treatment_S5_VF,0.1842958354055478
treatment_protocol_no_treatment_control,0.16890075373206906
treatment_label_coarse_D,0.16237902230046097
campaign_id_campaign_1,0.1573452067274743
series_id_D,0.09728886186639113
treatment_protocol_surface_inhibitor_spray_campaign2,0.0959961767312201
split_group_treatment_S1_MI,0.09549657276999184
split_group_treatment_D_NO,0.08522118651264374
treatment_coarse_SA_VF,0.07756359782971248
series_id_S5,0.07387346637450116
treatment_protocol_glass_based_compound,0.0628563383149012
series_id_E,0.04436522825620393
treatment_protocol_paint_plus_surface_inhibitor,0.042832347119853065
series_id_S1,0.031119218419904227
split_group_treatment_S4_SA_VF,0.023845767095547293
treatment_protocol_surface_inhibitor_plus_glass_compound,0.01780022265589449
treatment_coarse_VF,0.0154771448718423
treatment_label_coarse_VF,0.014849504515803379
split_group_treatment_E_SA_SPRAY,0.01064992428720666
series_id_G,0.0
treatment_protocol_surface_applied_inhibitor_campaign1,0.0
treatment_protocol_paint_only,0.0
treatment_coarse_SA_PA,0.0
series_id_S2,0.0
split_group_treatment_G_PAINT,0.0
treatment_coarse_False,0.0
split_group_treatment_S2_SA,0.0
treatment_label_coarse_MI,0.0
treatment_coarse_PA,0.0
treatment_protocol_mixed_in_inhibitor,0.0
