feature,importance
img_rust_blob_eccentricity_mean,11.88234016054241
img_lbp_mean,7.501057272628839
img_strip_peak_location_cm,6.88173867151284
img_b_std,6.542504582476167
img_brightness_std,5.30623398655744
img_lbp_std,4.866075794981929
img_gray_hist_bin_0,4.774927658244714
img_gray_hist_bin_6,4.69369124784575
img_rust_blob_mean_ratio_pct,3.4381968159994765
img_rust_center_of_mass_cm,2.7809356282535207
img_gray_mask_ratio_pct,2.769563383800106
img_rust_blob_count,2.7180862399251016
img_gray_hist_bin_3,2.442670603481702
img_glcm_energy,2.3110048238185557
img_r_mean,2.1738327084859854
img_gray_hist_bin_1,2.0415137713637415
img_brightness_p90,2.0129053217910826
img_gray_hist_bin_5,1.9735093087551925
img_rust_blob_largest_ratio_pct,1.8668364732913267
img_brightness_mean,1.8406659486866908
img_b_mean,1.835820604675333
img_gray_hist_bin_4,1.8267712154582572
img_glcm_homogeneity,1.6737316042019306
img_r_std,1.651845633699982
img_glcm_contrast,1.6346320683891538
img_strip_rust_max_pct,1.500030144218243
img_rust_area_ratio_pct,1.422012405813356
img_gray_hist_bin_7,1.3772362770859992
img_brightness_p10,1.13319982680527
img_strip_rust_p90_pct,1.080014333341791
img_strip_high_count,1.0605085816639066
img_strip_rust_std_pct,1.0547574417580121
img_gray_hist_bin_2,0.8225039619245744
img_black_mask_ratio_pct,0.6667211856340003
ageing_days,0.441924312887623
