feature,importance
img_rust_blob_eccentricity_mean,11.152313871665356
img_b_std,6.689387472197761
img_strip_peak_location_cm,5.497062571573615
img_lbp_mean,5.472881234909203
img_gray_hist_bin_0,4.337828543344374
img_gray_hist_bin_2,4.316097545515848
img_rust_center_of_mass_cm,3.9732728010114107
img_gray_mask_ratio_pct,3.8130472283823633
img_glcm_energy,3.5726895651845707
img_rust_blob_mean_ratio_pct,3.300728118136022
img_brightness_std,3.218621253555442
img_gray_hist_bin_7,2.9730656353354186
img_strip_rust_std_pct,2.947270187384882
img_rust_blob_largest_ratio_pct,2.792239116793522
img_lbp_std,2.7802347998556285
img_rust_blob_count,2.6882747850451274
img_gray_hist_bin_6,2.5075822959799137
img_glcm_homogeneity,2.4201731013232393
img_gray_hist_bin_5,2.3762394918229863
img_gray_hist_bin_4,2.3367388356502237
img_brightness_p90,2.3309487659768062
img_strip_rust_max_pct,2.0779022884527465
img_gray_hist_bin_3,1.9819211024513879
img_r_std,1.7375681160414824
img_r_mean,1.6511504365417067
img_brightness_p10,1.6106325372176638
img_strip_rust_p90_pct,1.4589645174077859
img_glcm_contrast,1.3699865754516214
img_b_mean,1.2782977903720096
img_gray_hist_bin_1,1.1518806845489968
img_brightness_mean,1.1219920717132708
img_rust_area_ratio_pct,1.115555138170792
img_strip_high_count,1.0420752715215988
img_black_mask_ratio_pct,0.859984355480399
ageing_days,0.04539189398480954
