mesh_group,mesh_group_label,corrosion_variable,n_specimens,pearson_r,pearson_pvalue,spearman_rho,spearman_pvalue
4,4-mesh,surface_total_rust_pct,24,-0.0010110122110318174,0.9962591279521715,-0.04616724738675959,0.8303815176192039
7,7-mesh,surface_total_rust_pct,24,-0.383525240299086,0.06430597868564653,-0.40113125792193655,0.05205171276795358
pooled,Pooled (confounded),surface_total_rust_pct,48,0.2606056620463693,0.07361634486089008,0.4619519521315035,0.0009489331628117478
4,4-mesh,peak_rust_pct,24,-0.06545208808523807,0.7612368946189745,-0.04657237118814119,0.8289144249124253
7,7-mesh,peak_rust_pct,24,-0.35645734811809143,0.08731430632367299,-0.3328258268007391,0.11202532059601594
pooled,Pooled (confounded),peak_rust_pct,48,0.28341114293347663,0.050938118261304496,0.43362832880935864,0.002077401789664919
4,4-mesh,img_rust_area_ratio_pct,24,-0.0010013368302520572,0.9962949278347114,-0.034820464439731726,0.8716784877533664
7,7-mesh,img_rust_area_ratio_pct,24,-0.3835303110058828,0.0643021566001731,-0.40113125792193655,0.05205171276795358
pooled,Pooled (confounded),img_rust_area_ratio_pct,48,0.26060465279941447,0.07361750091254265,0.4634345079149475,0.0009090990117661083
4,4-mesh,img_strip_rust_max_pct,24,-0.07122387956991064,0.7408576506368155,-0.013492929970396045,0.9501045790608655
7,7-mesh,img_strip_rust_max_pct,24,-0.23398418443611646,0.2711336702181355,-0.2266696153767125,0.2868255556005859
pooled,Pooled (confounded),img_strip_rust_max_pct,48,0.38690047662754656,0.006596540635954078,0.48705142578549604,0.0004470547687265844
4,4-mesh,img_hsv_s_mean,24,-0.1469299564526366,0.4932721410119162,-0.132724158186588,0.5364124467472247
7,7-mesh,img_hsv_s_mean,24,-0.30373111824148613,0.14905277807331707,-0.29105944853554827,0.167627961340732
pooled,Pooled (confounded),img_hsv_s_mean,48,-0.057547325969756896,0.69763701948042,-0.08366133966653462,0.5718447767608432
