feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
img_hsv_v_p10,0.680790236335456,0.680790236335456,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_std,0.38706533128551984,0.38706533128551984,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_p90,-0.37022050003213774,0.37022050003213774,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean,-0.16558433237368797,0.16558433237368797,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_mean,0.1505530524728,0.1505530524728,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_std,-0.1110382072870431,0.1110382072870431,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean,-0.09334941397456915,0.09334941397456915,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_p10,-0.087849991388058,0.087849991388058,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_5,0.08471158723736104,0.08471158723736104,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_p90,0.06562151347668649,0.06562151347668649,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_0,0.061607503656644254,0.061607503656644254,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_4,0.06139590910772805,0.06139590910772805,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_1,-0.06060058338040529,0.06060058338040529,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_6,0.050491002086297,0.050491002086297,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_3,-0.04830082948265578,0.04830082948265578,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_0,0.04387529079843285,0.04387529079843285,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_std,-0.041716889812420596,0.041716889812420596,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_4,0.04092044290418556,0.04092044290418556,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_7,0.03814568279943405,0.03814568279943405,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_3,-0.02927542559776381,0.02927542559776381,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_6,0.027115494399946493,0.027115494399946493,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_3,-0.027024293446660946,0.027024293446660946,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_p10,-0.021180839147021093,0.021180839147021093,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_p90,-0.01807915120484051,0.01807915120484051,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_5,0.016357514447994225,0.016357514447994225,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_4,-0.014326776956514518,0.014326776956514518,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_2,0.014219540133180894,0.014219540133180894,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_1,-0.012730183869815155,0.012730183869815155,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_7,-0.012281812851509814,0.012281812851509814,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_0,-0.011295891232208689,0.011295891232208689,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_2,-0.009756575797578482,0.009756575797578482,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_7,-0.008568185809499291,0.008568185809499291,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_5,0.008464141525752172,0.008464141525752172,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_2,-0.007857436223344817,0.007857436223344817,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_6,-0.005043043611730844,0.005043043611730844,coefficient,negative,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_1,0.0019234284163599767,0.0019234284163599767,coefficient,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_p10,0.7325141855678848,0.7325141855678848,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_p90,-0.44675194785742733,0.44675194785742733,coefficient,negative,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_std,0.4121739389211935,0.4121739389211935,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_mean,-0.29399611644242746,0.29399611644242746,coefficient,negative,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_h_mean,0.20655327436758267,0.20655327436758267,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_h_std,-0.19379805695707705,0.19379805695707705,coefficient,negative,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_h_hist_bin_4,0.1462044502188136,0.1462044502188136,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_p90,0.12515531250403722,0.12515531250403722,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_h_hist_bin_5,-0.10630953090279834,0.10630953090279834,coefficient,negative,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_mean,0.10262629785208768,0.10262629785208768,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_h_p10,-0.08963414848424583,0.08963414848424583,coefficient,negative,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_hist_bin_4,0.08658977586016044,0.08658977586016044,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_hist_bin_5,0.07502945640232413,0.07502945640232413,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_h_hist_bin_7,0.06897706010167245,0.06897706010167245,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_h_hist_bin_3,-0.06404728350206866,0.06404728350206866,coefficient,negative,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_hist_bin_6,0.06210396076843295,0.06210396076843295,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_hist_bin_7,-0.0605646646287999,0.0605646646287999,coefficient,negative,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_hist_bin_3,-0.06027215818006899,0.06027215818006899,coefficient,negative,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_h_hist_bin_1,-0.05813608321327255,0.05813608321327255,coefficient,negative,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_hist_bin_6,0.05730199404451674,0.05730199404451674,coefficient,positive,grouped_cv,0,1,grouped_cv_repeat0_fold1
