feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
campaign_id,28.028468226307837,28.028468226307837,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
cover_mm,23.249648120446057,23.249648120446057,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
nacl_pct,13.987947590802149,13.987947590802149,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_steel_mesh,5.531377022649694,5.531377022649694,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_label_coarse,3.9812899943073057,3.9812899943073057,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_protocol,2.4782908680367437,2.4782908680367437,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_7,2.3057418190876837,2.3057418190876837,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
split_group_treatment,2.169199137646049,2.169199137646049,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_5,2.116667955194267,2.116667955194267,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
series_id,1.8188899733022814,1.8188899733022814,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_p10,1.778700739233692,1.778700739233692,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_coarse,1.6245082799494042,1.6245082799494042,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_mean,1.2506639353791056,1.2506639353791056,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_std,1.164964951994642,1.164964951994642,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_2,0.8650435504060922,0.8650435504060922,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_6,0.8349535289681282,0.8349535289681282,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_3,0.7101196870188772,0.7101196870188772,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_1,0.6694774569107864,0.6694774569107864,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_4,0.6188737875769063,0.6188737875769063,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_5,0.5615858972152117,0.5615858972152117,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_hist_bin_0,0.36557259550311566,0.36557259550311566,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_6,0.3334905610202458,0.3334905610202458,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_p90,0.3083184754013564,0.3083184754013564,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_std,0.2977652692345792,0.2977652692345792,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_mean,0.2833891055220704,0.2833891055220704,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_1,0.2797888869314028,0.2797888869314028,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_4,0.24720932824249775,0.24720932824249775,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_mean,0.22088031562204155,0.22088031562204155,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_p90,0.2066068474281553,0.2066068474281553,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_2,0.17501777482199377,0.17501777482199377,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_2,0.17152119293414503,0.17152119293414503,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_p10,0.16908891499134218,0.16908891499134218,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_v_p90,0.14248536993563365,0.14248536993563365,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_3,0.1357003834188803,0.1357003834188803,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
ageing_days,0.13383125585122826,0.13383125585122826,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_s_hist_bin_7,0.11105384703960432,0.11105384703960432,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_hsv_h_hist_bin_0,0.1029420207186841,0.1029420207186841,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
