feature,feature_value,feature_value_label,prediction_mean,feature_kind
campaign_id,campaign_1,campaign_1,2.2645461155773208,categorical
campaign_id,campaign_2,campaign_2,2.020380599762932,categorical
nacl_pct,3.5,3.5,2.2208783078194276,numeric
nacl_pct,5.0,5,2.071427091320322,numeric
n_steel_mesh,4.0,4,2.0933013971385517,numeric
n_steel_mesh,7.0,7,2.2065302624997662,numeric
cover_mm,2.343,2.343,2.173849646509503,numeric
cover_mm,3.5439285714285713,3.544,2.2100202875617834,numeric
cover_mm,3.766142857142857,3.766,2.2046250489747434,numeric
cover_mm,4.344785714285714,4.345,2.1920853328990475,numeric
cover_mm,4.585214285714286,4.585,2.183505156655336,numeric
cover_mm,5.694642857142857,5.695,2.038305810547992,numeric
cover_mm,6.394285714285714,6.394,1.9520890513400047,numeric
cover_mm,7.257499999999999,7.257,2.051752485620896,numeric
img_hsv_s_std,0.018109871353954077,0.01811,2.1465299214070668,numeric
img_hsv_s_std,0.0332222543656826,0.03322,2.145403565631383,numeric
img_hsv_s_std,0.04393086233841521,0.04393,2.145381404174644,numeric
img_hsv_s_std,0.058564581988113255,0.05856,2.145096552690712,numeric
img_hsv_s_std,0.07988096704440459,0.07988,2.144746440817054,numeric
img_hsv_s_std,0.10377469664173467,0.1038,2.1447771342709894,numeric
img_hsv_s_std,0.14047441578337122,0.1405,2.1486696033781483,numeric
img_hsv_s_std,0.19303168877959248,0.193,2.217499690517606,numeric
