split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,626,165,38,10,38,10,0.09656690791354675,0.23761494942285513,0.12237578692574169,0.30116231451429837,0.8747242313874238,0.6051701244858471,0.8990806088932122,0.7538028741632801
grouped_cv,0,1,grouped_cv_repeat0_fold1,626,165,38,10,38,10,0.12432713042585515,0.14057992230181357,0.16346427578207473,0.15271809186740817,0.827152436647437,0.7690833201292846,0.9022548647561173,0.8875420937728943
grouped_cv,0,2,grouped_cv_repeat0_fold2,627,164,38,10,38,10,0.11838045883613273,0.16678418451359966,0.1557413487254606,0.20733773479335485,0.8242947486562776,0.7392729528008712,0.8655867366846264,0.8545454545454544
grouped_cv,0,3,grouped_cv_repeat0_fold3,641,150,39,9,39,9,0.12621318210338103,0.1347448070692131,0.16355701371136297,0.1742328997182513,0.8223601914150624,0.7254008698453704,0.8925787594069453,0.8333333333333333
grouped_cv,0,4,grouped_cv_repeat0_fold4,644,147,39,9,39,9,0.12977669596171046,0.20872860750475308,0.1575773390386176,0.2765128561923929,0.8395486076204406,0.20209125063597755,0.8927812500510939,0.652725378829464
grouped_cv,1,0,grouped_cv_repeat1_fold0,626,165,38,10,38,10,0.12255016077373412,0.1272903852996466,0.16335994697448303,0.17514809050196342,0.7959321972878497,0.8353680791340161,0.867713927181731,0.9151515151515152
grouped_cv,1,1,grouped_cv_repeat1_fold1,627,164,38,10,38,10,0.1119724226989109,0.2030113912969475,0.14024673643214322,0.24795805514936273,0.8705394413976256,0.4154700609079862,0.9181853350901601,0.5670837129867669
grouped_cv,1,2,grouped_cv_repeat1_fold2,626,165,38,10,38,10,0.11436904894655478,0.15781366641725642,0.15077409135167433,0.2115140661006766,0.841939845236721,0.6798491483641781,0.9071905656752929,0.6484848484848483
grouped_cv,1,3,grouped_cv_repeat1_fold3,641,150,39,9,39,9,0.11056381657759469,0.2119622199053491,0.14949398583904208,0.23398006767622367,0.8448661646863802,0.614881937917827,0.8973930937902591,0.7833333333333333
grouped_cv,1,4,grouped_cv_repeat1_fold4,644,147,39,9,39,9,0.13163305950381174,0.14150415716888648,0.1700111693421022,0.17275962753366847,0.8029260017692282,0.7610204624998695,0.840016269790465,0.8166666666666667
