split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,626,165,38,10,38,10,0.0027579390842199397,0.29152094235131504,0.00823284371227724,0.338553569728852,0.9994330094466859,0.5010425065030358,0.999014802268468,0.6383008208640678
grouped_cv,0,1,grouped_cv_repeat0_fold1,626,165,38,10,38,10,0.006803793151217789,0.13207481324529313,0.01691706191921066,0.23311906941973842,0.9981487399464458,0.46194096566247034,0.9988505252633295,0.8170731707317074
grouped_cv,0,2,grouped_cv_repeat0_fold2,627,164,38,10,38,10,0.0015448344033902313,0.21849180348579816,0.00369891245662043,0.2769831926211526,0.9999008882865125,0.5346966054632944,0.9997263797250884,0.8303030303030302
grouped_cv,0,3,grouped_cv_repeat0_fold3,641,150,39,9,39,9,0.012551006654990747,0.14368935218040801,0.022970213330148866,0.15563624062092238,0.9964962588895714,0.7808909620794111,0.9979751396862817,0.8666666666666667
grouped_cv,0,4,grouped_cv_repeat0_fold4,644,147,39,9,39,9,0.0009516323831617146,0.2495861332597886,0.0029335262437028553,0.299530146277429,0.999944392173427,0.06372452384147809,0.999645599096543,0.6610936529170212
grouped_cv,1,0,grouped_cv_repeat1_fold0,626,165,38,10,38,10,0.0024245022715501927,0.1338802863116602,0.005214100985502672,0.15961703139252278,0.999792105884263,0.8632706685205135,0.9996716466829886,0.9636363636363635
grouped_cv,1,1,grouped_cv_repeat1_fold1,627,164,38,10,38,10,0.0016032732017597275,0.2684114184882077,0.004372824023719021,0.32759666304621293,0.9998741434132726,-0.020303217590260214,0.9995621296891704,0.58537673598634
grouped_cv,1,2,grouped_cv_repeat1_fold2,626,165,38,10,38,10,0.0019473060216658295,0.16682483147220795,0.004421127944556252,0.22190393071077152,0.999864095095503,0.6476241442032697,0.9998905488969523,0.7173285415424762
grouped_cv,1,3,grouped_cv_repeat1_fold3,641,150,39,9,39,9,0.006796226750700343,0.22805818881952364,0.016484969875963793,0.3072675830567943,0.9981135929854542,0.33584468627632,0.9969626609168374,0.7
grouped_cv,1,4,grouped_cv_repeat1_fold4,644,147,39,9,39,9,0.004087444281281471,0.2044546379188577,0.0072803768859166385,0.22161958388833697,0.9996386049971934,0.6067285056356259,0.9989368254328769,0.8333333333333333
