feature,importance_kind,importance,importance_abs
series_id,coefficient,0.019635096173821656,0.146759407018276
split_group_treatment,coefficient,0.01963509617383699,0.1467594070182713
treatment_protocol,coefficient,0.010490531191432019,0.13174384041187331
campaign_id,coefficient,1.635913626785168e-14,0.08603471095726273
treatment_coarse,coefficient,-0.0005157222346435163,0.058069031686865245
nacl_pct,coefficient,-0.04301735547840643,0.04301735547840643
n_steel_mesh,coefficient,0.04301735547839879,0.04301735547839879
treatment_label_coarse,coefficient,-0.0046232056602912115,0.03906243269165431
cover_mm,coefficient,-0.032179025195575306,0.032179025195575306
ageing_days,coefficient,-1.3519675099060963e-05,1.3519675099060963e-05
week,coefficient,-1.3519675098586987e-05,1.3519675098586987e-05
