feature,feature_value,feature_value_label,prediction_mean,feature_kind
campaign_id,campaign_1,campaign_1,2.298045122768757,categorical
campaign_id,campaign_2,campaign_2,2.009571839605667,categorical
cover_mm,2.343,2.343,2.193595417317982,numeric
cover_mm,3.5439285714285713,3.544,2.2150279005111484,numeric
cover_mm,3.766142857142857,3.766,2.220276754861009,numeric
cover_mm,4.344785714285714,4.345,2.167945983018123,numeric
cover_mm,4.585214285714286,4.585,2.155147412516961,numeric
cover_mm,5.694642857142857,5.695,2.066527687098732,numeric
cover_mm,6.394285714285714,6.394,2.0007459029553623,numeric
cover_mm,7.257499999999999,7.257,2.113991417843974,numeric
n_steel_mesh,4.0,4,2.0914429028967922,numeric
n_steel_mesh,7.0,7,2.2165427703345646,numeric
nacl_pct,3.5,3.5,2.1881518736968286,numeric
nacl_pct,5.0,5,2.121838951263199,numeric
treatment_label_coarse,D,D,2.1387103141361097,categorical
treatment_label_coarse,G,G,2.1962899390300885,categorical
treatment_label_coarse,MI,MI,2.142800236728122,categorical
treatment_label_coarse,SA,SA,2.144087372144003,categorical
treatment_label_coarse,VF,VF,2.139747799426562,categorical
