feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
campaign_id,0.2699076491232868,0.2699076491232868,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
n_steel_mesh,0.2006758933807165,0.2006758933807165,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
nacl_pct,0.19829172341416573,0.19829172341416573,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
cover_mm,0.16028228782644305,0.16028228782644305,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_label_coarse,0.02556194168875024,0.02556194168875024,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_coarse,0.024378371480068606,0.024378371480068606,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_homogeneity,0.023559635544652593,0.023559635544652593,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
treatment_protocol,0.019435394900386756,0.019435394900386756,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
split_group_treatment,0.018775276074077016,0.018775276074077016,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
series_id,0.01584508302031599,0.01584508302031599,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_center_of_mass_cm,0.012552079208950257,0.012552079208950257,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_peak_location_cm,0.005843267832667164,0.005843267832667164,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_edge_to_center_rust_ratio,0.003808370088407656,0.003808370088407656,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_2,0.003397122344545938,0.003397122344545938,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_b_std,0.003321912569851942,0.003321912569851942,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_mask_ratio_pct,0.002432485040869779,0.002432485040869779,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_6,0.0019105504723821312,0.0019105504723821312,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_std,0.0018735622701455531,0.0018735622701455531,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_4,0.0017370185863387299,0.0017370185863387299,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_contrast,0.0010056085302230656,0.0010056085302230656,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_eccentricity_mean,0.000923972583904203,0.000923972583904203,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_lbp_mean,0.0007207686310252777,0.0007207686310252777,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_max_pct,0.0004415720499407192,0.0004415720499407192,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_mean_ratio_pct,0.00037070820097145094,0.00037070820097145094,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_lbp_std,0.00028614442019639656,0.00028614442019639656,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_p90_pct,0.00025424108694896793,0.00025424108694896793,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_brightness_p10,0.00024327057125594123,0.00024327057125594123,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_area_ratio_pct,0.00022549611249298636,0.00022549611249298636,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_g_std,0.0002224374817408098,0.0002224374817408098,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_contrast,0.0001788666640328902,0.0001788666640328902,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
