split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,626,165,38,10,38,10,0.01457611839411929,0.2938765422166724,0.026087037826423576,0.3507458717541024,0.9943072040583207,0.46445756258795545,0.9961690554586222,0.6383008208640678
grouped_cv,0,1,grouped_cv_repeat0_fold1,626,165,38,10,38,10,0.025485614511489906,0.1400167191600754,0.03601731006533028,0.2202250470063716,0.9916084902888742,0.519815929258536,0.996387969656064,0.7963562622208846
grouped_cv,0,2,grouped_cv_repeat0_fold2,627,164,38,10,38,10,0.01818566958677593,0.22936264268387294,0.032925561514317005,0.27308527596114285,0.9921468614585383,0.5477006571601728,0.9945271989778093,0.8424242424242423
grouped_cv,0,3,grouped_cv_repeat0_fold3,641,150,39,9,39,9,0.03385026876641721,0.1398450009033529,0.0540399698424996,0.16872087610495617,0.9806075737878128,0.7425004515306612,0.9884580794112985,0.8833333333333333
grouped_cv,0,4,grouped_cv_repeat0_fold4,644,147,39,9,39,9,0.013922505836640005,0.24642592144464645,0.02159258185879842,0.2920493257723065,0.9969872359891102,0.10990781733505628,0.9985826116187274,0.6778302010921357
grouped_cv,1,0,grouped_cv_repeat1_fold0,626,165,38,10,38,10,0.025115329092338146,0.14502191468502917,0.041683799794473564,0.1640219951726135,0.9867132757027727,0.8556198753842261,0.9938154087148904,0.9393939393939393
grouped_cv,1,1,grouped_cv_repeat1_fold1,627,164,38,10,38,10,0.016284466102884337,0.30349950743837634,0.026437259082226494,0.3716814413204746,0.9953997143146726,-0.3133850568723888,0.9970995831054189,0.3231767396591252
grouped_cv,1,2,grouped_cv_repeat1_fold2,626,165,38,10,38,10,0.015888908087008165,0.1300707359932572,0.024221625109942982,0.2024389332194493,0.9959207951130803,0.7067322998759945,0.9991244630292857,0.7575757575757575
grouped_cv,1,3,grouped_cv_repeat1_fold3,641,150,39,9,39,9,0.02245115674363533,0.20331618153717954,0.031814788557134745,0.2500225268677242,0.992973854009363,0.5602615480132116,0.9896229119810223,0.75
grouped_cv,1,4,grouped_cv_repeat1_fold4,644,147,39,9,39,9,0.01891843566741528,0.20735476106509426,0.03262918445882022,0.2243228276281195,0.9927408318431798,0.597075997370396,0.9921021469873401,0.7999999999999999
