split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,626,165,38,10,38,10,0.08735615795357603,0.23871926761329418,0.1084830427412444,0.284510728405139,0.9015536097085873,0.6476242204390519,0.9169221159847135,0.6565379871744698
grouped_cv,0,1,grouped_cv_repeat0_fold1,626,165,38,10,38,10,0.11513779359314713,0.15907166636550957,0.14926359581489126,0.17199513077209017,0.8558796355510442,0.7071085928920664,0.9102452329627406,0.8267515394048879
grouped_cv,0,2,grouped_cv_repeat0_fold2,627,164,38,10,38,10,0.11320821476907797,0.16514565317064717,0.1442635249498589,0.20055699639649943,0.8492386707453108,0.7560476416107041,0.8823336727889193,0.8181818181818182
grouped_cv,0,3,grouped_cv_repeat0_fold3,641,150,39,9,39,9,0.113302506046917,0.1375733572622761,0.14398673575739365,0.1712904799552428,0.8623275871271762,0.7345973342877301,0.914447748974992,0.8499999999999999
grouped_cv,0,4,grouped_cv_repeat0_fold4,644,147,39,9,39,9,0.10956999784218638,0.2040701502897989,0.1362764811396684,0.266396914704302,0.8799954294157429,0.25940469874492267,0.9109041627023919,0.728039845617479
grouped_cv,1,0,grouped_cv_repeat1_fold0,626,165,38,10,38,10,0.12315358002855437,0.12796967598301873,0.1537693233705262,0.162983292858396,0.8191898829172373,0.8574427177197875,0.8864321158468094,0.9030303030303028
grouped_cv,1,1,grouped_cv_repeat1_fold1,627,164,38,10,38,10,0.09382877922036705,0.22291162342190698,0.11035153351933324,0.2774376730844009,0.9198490462980905,0.2682189073767218,0.9385432409581743,0.4756185979889012
grouped_cv,1,2,grouped_cv_repeat1_fold2,626,165,38,10,38,10,0.10293158236372556,0.17272922757887968,0.12673174400488457,0.24480784716299978,0.8883291592315438,0.5711288595860724,0.9273284670004532,0.6969696969696969
grouped_cv,1,3,grouped_cv_repeat1_fold3,641,150,39,9,39,9,0.09363024230287333,0.2716767153115237,0.1215340172918308,0.29671208196769516,0.8974690941556567,0.38069209295729345,0.9276639122743845,0.75
grouped_cv,1,4,grouped_cv_repeat1_fold4,644,147,39,9,39,9,0.12319724928096792,0.1688552266180404,0.1523564795026742,0.20425539118150118,0.841730847629076,0.6659409399996685,0.8581410181381617,0.7999999999999999
