feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
img_gray_hist_bin_0,0.15534421801567078,0.15534421801567078,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_p90_pct,0.09780442714691162,0.09780442714691162,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_black_mask_ratio_pct,0.08773632347583771,0.08773632347583771,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_mean_ratio_pct,0.08418314158916473,0.08418314158916473,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_energy,0.06789892166852951,0.06789892166852951,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_mask_ratio_pct,0.04304173216223717,0.04304173216223717,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_homogeneity,0.04185019060969353,0.04185019060969353,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_mean,0.03705005720257759,0.03705005720257759,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_rust_std_pct,0.027691859751939774,0.027691859751939774,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_gray_hist_bin_2,0.026165584102272987,0.026165584102272987,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_largest_ratio_pct,0.025865113362669945,0.025865113362669945,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_r_std,0.022601911798119545,0.022601911798119545,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_center_of_mass_cm,0.020496459677815437,0.020496459677815437,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_strip_high_count,0.020353645086288452,0.020353645086288452,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_rust_blob_count,0.019721772521734238,0.019721772521734238,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_glcm_contrast,0.018067410215735435,0.018067410215735435,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
img_lbp_mean,0.017254753038287163,0.017254753038287163,feature_importance,positive,grouped_cv,0,0,grouped_cv_repeat0_fold0
