split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,626,165,38,10,38,10,0.02813058828052721,0.37761753511428836,0.039139303760660354,0.4272954806499886,0.9871854820833786,0.2051862831326301,0.9850044313890938,0.38298049251844074
grouped_cv,0,1,grouped_cv_repeat0_fold1,626,165,38,10,38,10,0.030726438196081868,0.25597406244277954,0.03843123320507005,0.3076694601746011,0.9904459789583471,0.0627766386062466,0.9903678292264162,0.3039527718400323
grouped_cv,0,2,grouped_cv_repeat0_fold2,627,164,38,10,38,10,0.023982283692610917,0.2451081414222717,0.030691033707592127,0.29538679018211633,0.9931766144542435,0.47081012479246465,0.9936515421880422,0.6242424242424242
grouped_cv,0,3,grouped_cv_repeat0_fold3,641,150,39,9,39,9,0.037737236022949205,0.1360366323259142,0.046712760191038406,0.18254878488371643,0.9855098456559567,0.6985628874696546,0.9829908320192868,0.8333333333333333
grouped_cv,0,4,grouped_cv_repeat0_fold4,644,147,39,9,39,9,0.02915897357158171,0.18673204527960885,0.03508782871197673,0.26344932993930115,0.99204447300227,0.275702864659898,0.9934191001929387,0.6025157343041205
grouped_cv,1,0,grouped_cv_repeat1_fold0,626,165,38,10,38,10,0.033146035922201056,0.2909541110992432,0.04159596879519474,0.34159839431436845,0.9867692090299942,0.37376855251720154,0.9898747374169792,0.4424242424242424
grouped_cv,1,1,grouped_cv_repeat1_fold1,627,164,38,10,38,10,0.028243932222065157,0.3132943897247315,0.037121899422128866,0.40071205443356683,0.9909298947180426,-0.5265644068334516,0.9922837344054585,0.18293022999573122
grouped_cv,1,2,grouped_cv_repeat1_fold2,626,165,38,10,38,10,0.0343588900566101,0.21918176889419555,0.04638246456200773,0.2607878122620271,0.9850418940175591,0.51331189110988,0.9852249333102892,0.7212121212121211
grouped_cv,1,3,grouped_cv_repeat1_fold3,641,150,39,9,39,9,0.020720781546372653,0.32863513098822694,0.025739336682249033,0.37180829690897665,0.9954011018840743,0.027534245073328134,0.9934700394137874,0.25
grouped_cv,1,4,grouped_cv_repeat1_fold4,644,147,39,9,39,9,0.030865614964411828,0.21630119588639998,0.03965429654109286,0.2540872309220681,0.9892785155835386,0.48305792859537444,0.9868368569645457,0.65
