feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
cover_mm,0.5386450881044709,0.5386450881044709,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_s_std,0.12960361912714327,0.12960361912714327,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
series_id,0.051397790465887674,0.051397790465887674,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_v_hist_bin_7,0.0490010842222371,0.0490010842222371,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_v_hist_bin_3,0.03772960182237684,0.03772960182237684,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
split_group_treatment,0.03163475267061279,0.03163475267061279,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_s_hist_bin_5,0.030926822968986346,0.030926822968986346,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
treatment_protocol,0.030195398526371042,0.030195398526371042,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
treatment_label_coarse,0.022018898285971245,0.022018898285971245,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_v_hist_bin_4,0.012202655287960384,0.012202655287960384,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
treatment_coarse,0.007379857655181662,0.007379857655181662,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_s_hist_bin_4,0.007354418394163906,0.007354418394163906,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_h_p10,0.006349514461508481,0.006349514461508481,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_v_hist_bin_5,0.005554469898436847,0.005554469898436847,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_v_std,0.005169615361299239,0.005169615361299239,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
