feature,feature_value,feature_value_label,prediction_mean,feature_kind
campaign_id,campaign_1,campaign_1,2.293545506712832,categorical
campaign_id,campaign_2,campaign_2,2.0061517916309555,categorical
cover_mm,2.343,2.343,2.1828337581942727,numeric
cover_mm,3.5439285714285713,3.544,2.211967127164443,numeric
cover_mm,3.766142857142857,3.766,2.212142546482003,numeric
cover_mm,4.344785714285714,4.345,2.165964290606832,numeric
cover_mm,4.585214285714286,4.585,2.1536249264848646,numeric
cover_mm,5.694642857142857,5.695,2.0661694131178825,numeric
cover_mm,6.394285714285714,6.394,1.9511634444995105,numeric
cover_mm,7.257499999999999,7.257,2.092248707811161,numeric
nacl_pct,3.5,3.5,2.2141613616786615,numeric
nacl_pct,5.0,5,2.0955536623564095,numeric
n_steel_mesh,4.0,4,2.106697043555561,numeric
n_steel_mesh,7.0,7,2.1972488850758642,numeric
img_hsv_v_hist_bin_7,0.03208812915479584,0.03209,2.141237824937088,numeric
img_hsv_v_hist_bin_7,0.3232984863461049,0.3233,2.141237824937088,numeric
img_hsv_v_hist_bin_7,1.0309475667189945,1.031,2.141237824937088,numeric
img_hsv_v_hist_bin_7,2.201577114948542,2.202,2.1392989631589265,numeric
img_hsv_v_hist_bin_7,3.5187423764947567,3.519,2.1392989631589265,numeric
img_hsv_v_hist_bin_7,5.206014489214489,5.206,2.1393036514353874,numeric
img_hsv_v_hist_bin_7,7.163626412388316,7.164,2.2042681794809704,numeric
img_hsv_v_hist_bin_7,7.987224311490978,7.987,2.215854241445892,numeric
