feature,feature_value,feature_value_label,prediction_mean,feature_kind
img_hsv_v_p10,0.4319607883691788,0.432,1.9114783308590357,numeric
img_hsv_v_p10,0.5175070315599442,0.5175,1.9839020507976413,numeric
img_hsv_v_p10,0.587366971373558,0.5874,2.043045696705112,numeric
img_hsv_v_p10,0.6595518410205841,0.6596,2.104157635559785,numeric
img_hsv_v_p10,0.7270868510007858,0.7271,2.1613329885200545,numeric
img_hsv_v_p10,0.8056582748889923,0.8057,2.227851804386316,numeric
img_hsv_v_p10,0.8865546286106109,0.8866,2.2963389131997785,numeric
img_hsv_v_p10,0.9680392175912856,0.968,2.365324023843256,numeric
img_hsv_s_mean,0.028501098044216654,0.0285,2.335890829957887,numeric
img_hsv_s_mean,0.10048105674130575,0.1005,2.2610909771412646,numeric
img_hsv_s_mean,0.1500507525035313,0.1501,2.20957933397983,numeric
img_hsv_s_mean,0.17303469138486044,0.173,2.1856949739914544,numeric
img_hsv_s_mean,0.1962051569351128,0.1962,2.1616167799465673,numeric
img_hsv_s_mean,0.23635323217936924,0.2364,2.11989585965848,numeric
img_hsv_s_mean,0.31189830069031027,0.3119,2.0413912299264747,numeric
img_hsv_s_mean,0.4434249565005301,0.4434,1.904711872586626,numeric
img_hsv_v_p90,0.6701960980892181,0.6702,2.47650945290482,numeric
img_hsv_v_p90,0.7277311086654663,0.7277,2.40208376300903,numeric
img_hsv_v_p90,0.7696918904781341,0.7697,2.347804462393697,numeric
img_hsv_v_p90,0.8147339046001434,0.8147,2.289539365337986,numeric
img_hsv_v_p90,0.85680673122406,0.8568,2.2351151266702756,numeric
img_hsv_v_p90,0.9008963644504547,0.9009,2.1780820030597723,numeric
img_hsv_v_p90,0.9420168101787567,0.942,2.12488973783727,numeric
img_hsv_v_p90,0.9831372559070587,0.9831,2.071697472614767,numeric
