feature,importance_kind,importance,importance_abs
img_strip_rust_std_pct,coefficient,0.13213661020749587,0.13213661020749587
img_glcm_homogeneity,coefficient,0.12364540857614334,0.12364540857614334
img_brightness_p10,coefficient,-0.02710156769091472,0.11260562561564001
img_strip_rust_p90_pct,coefficient,-0.1082181237714165,0.1082181237714165
img_strip_high_count,coefficient,0.09374145543576226,0.09374145543576226
img_rust_blob_largest_ratio_pct,coefficient,0.08491667925711027,0.09091164043869004
img_strip_rust_max_pct,coefficient,-0.049998442838177865,0.08627501387443806
img_b_std,coefficient,0.053406360807596726,0.08522863990558799
img_r_std,coefficient,0.0656335542940633,0.07922360320896786
img_gray_hist_bin_2,coefficient,-0.032244394643454355,0.07008215734155585
img_brightness_p90,coefficient,-0.034054967159530686,0.0700577420680355
treatment_protocol,coefficient,-0.000623136334316579,0.06268070681784903
split_group_treatment,coefficient,0.0058308600556713905,0.062019057021319775
series_id,coefficient,0.005830860055671025,0.062019057021312954
img_b_mean,coefficient,-0.0585255778774925,0.0585255778774925
img_lbp_mean,coefficient,0.05840862203015321,0.05840862203015321
img_contrast,coefficient,-0.048872219801284575,0.05752667295816252
img_brightness_std,coefficient,-0.048872219801278816,0.057526672958159386
img_g_mean,coefficient,-0.040157245144386886,0.05612612236697237
treatment_coarse,coefficient,-0.0009368249112250409,0.05601308666416592
img_gray_hist_bin_7,coefficient,0.02048901257614666,0.05182505376103505
img_gray_hist_bin_1,coefficient,-0.016180413525185174,0.048875284787416776
img_rust_area_ratio_pct,coefficient,-0.04859926478981011,0.04859926478981011
img_gray_hist_bin_4,coefficient,-0.0338589133871617,0.048104157676814176
img_r_mean,coefficient,0.04736286106822784,0.04736286106822784
img_rust_blob_count,coefficient,-0.04586608508108478,0.04586608508108478
treatment_label_coarse,coefficient,-0.0008206465176144222,0.044561094146873925
img_gray_hist_bin_3,coefficient,-0.03969180615650431,0.03969180615650431
img_gray_hist_bin_5,coefficient,-0.02310466592013753,0.0379684997970092
img_rust_blob_mean_ratio_pct,coefficient,-0.037441854291113574,0.037441854291113574
img_rust_blob_eccentricity_max,coefficient,0.02750657549286393,0.03256686720749075
img_lbp_std,coefficient,0.03172088501422335,0.03172088501422335
img_rust_center_of_mass_cm,coefficient,0.02660220908574932,0.02859134832004992
img_brightness_mean,coefficient,-0.023969011710810614,0.023969011710810614
img_g_std,coefficient,-0.0027421519018561713,0.02312801796880041
img_gray_hist_bin_0,coefficient,0.02266384376244585,0.02266384376244585
img_strip_peak_location_cm,coefficient,-0.01913225353411978,0.01913225353411978
img_glcm_contrast,coefficient,0.018761602829343225,0.018761602829343225
img_glcm_energy,coefficient,-0.01707776467650332,0.01707776467650332
img_strip_rust_mean_pct,coefficient,-0.014660802431763306,0.015095064013094451
img_gray_mask_ratio_pct,coefficient,0.014996164141735154,0.014996164141735154
img_rust_blob_eccentricity_mean,coefficient,-0.014870358412379537,0.014870358412379537
img_gray_hist_bin_6,coefficient,0.013561756741915492,0.013561756741915492
week,coefficient,-0.0026209246777638274,0.010155721165617321
ageing_days,coefficient,-0.0026209246777412244,0.010155721165597988
img_edge_to_center_rust_ratio,coefficient,-0.007782047780514387,0.008772230068356585
cover_mm,coefficient,-0.0047132804918040665,0.005459642971246459
img_black_mask_ratio_pct,coefficient,-0.0013383048529208642,0.005041895668255741
n_steel_mesh,coefficient,0.0,0.0
nacl_pct,coefficient,0.0,0.0
img_strip_count,coefficient,0.0,0.0
campaign_id,coefficient,0.0,0.0
