feature,feature_value,feature_value_label,prediction_mean,feature_kind
nacl_pct,3.5,3.5,2.2109050033366784,numeric
nacl_pct,5.0,5,2.0891232023347643,numeric
n_steel_mesh,4.0,4,1.9618531709675844,numeric
n_steel_mesh,7.0,7,2.3455900933438096,numeric
campaign_id,campaign_1,campaign_1,2.1571527113655273,categorical
campaign_id,campaign_2,campaign_2,2.14737075258296,categorical
img_hsv_v_hist_bin_7,0.03208812915479584,0.03209,2.1350981206568393,numeric
img_hsv_v_hist_bin_7,0.3232984863461049,0.3233,2.1341714015049216,numeric
img_hsv_v_hist_bin_7,1.0309475667189945,1.031,2.1341714015049216,numeric
img_hsv_v_hist_bin_7,2.201577114948542,2.202,2.1341527876751463,numeric
img_hsv_v_hist_bin_7,3.5187423764947567,3.519,2.134143481815208,numeric
img_hsv_v_hist_bin_7,5.206014489214489,5.206,2.134143481815208,numeric
img_hsv_v_hist_bin_7,7.163626412388316,7.164,2.2274472541664405,numeric
img_hsv_v_hist_bin_7,7.987224311490978,7.987,2.227784605454253,numeric
