feature,importance,importance_abs,importance_kind,direction,split_name,repeat_id,fold_id,split_id
img_edge_to_center_rust_ratio,9.593947319565077,9.593947319565077,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_s_std,7.834161732637407,7.834161732637407,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_center_of_mass_cm,5.181685045173052,5.181685045173052,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_peak_location_cm,4.649896786117589,4.649896786117589,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_glcm_homogeneity,3.995911049094613,3.995911049094613,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_blob_largest_ratio_pct,3.5626446402942604,3.5626446402942604,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_glcm_contrast,3.2436832531724042,3.2436832531724042,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_lbp_mean,3.0497114304958814,3.0497114304958814,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_s_hist_bin_5,2.655559474443691,2.655559474443691,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_gray_hist_bin_5,2.3865558512833394,2.3865558512833394,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_strip_rust_max_pct,2.302140768595991,2.302140768595991,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_rust_blob_eccentricity_mean,2.162205016093069,2.162205016093069,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_v_hist_bin_5,2.124692042522396,2.124692042522396,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_hsv_v_hist_bin_7,1.7830309841193972,1.7830309841193972,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
img_lbp_std,1.7608736719397602,1.7608736719397602,feature_importance,positive,leave_one_campaign_out,0,0,leave_one_campaign_out_campaign_1
