feature,importance_kind,importance,importance_abs
img_strip_rust_p90_pct,coefficient,-0.13316433957044382,0.13316433957044382
img_strip_rust_std_pct,coefficient,0.12190506570921489,0.12190506570921489
img_brightness_p10,coefficient,-0.008434713683646115,0.10875425930816413
img_hsv_s_mean,coefficient,0.0631356610188461,0.10783602183032817
img_gray_hist_bin_2,coefficient,-0.10386433485431565,0.10386433485431565
img_b_mean,coefficient,-0.10082612125146688,0.10082612125146688
img_rust_blob_largest_ratio_pct,coefficient,0.0823004034008609,0.09725186598244787
img_strip_high_count,coefficient,0.09665353611781421,0.09665353611781421
img_b_std,coefficient,-0.006029405866947057,0.09621243442322608
img_hsv_v_std,coefficient,0.09460485487950258,0.09460485487950258
img_strip_rust_max_pct,coefficient,0.019671008714780253,0.08740064091420079
img_hsv_v_p10,coefficient,0.07751374818950361,0.07751374818950361
img_hsv_s_p90,coefficient,0.022994877886331037,0.07395402750026354
img_r_std,coefficient,0.07369515280961504,0.07369515280961504
img_rust_area_ratio_pct,coefficient,-0.07048135634735234,0.07048135634735234
img_hsv_s_hist_bin_3,coefficient,0.02164866775257921,0.06902914663088072
img_glcm_homogeneity,coefficient,0.06635420937265152,0.06635420937265152
img_hsv_s_p10,coefficient,-0.04820633674823412,0.06598115807145435
img_hsv_s_hist_bin_5,coefficient,0.06458542848948082,0.06458542848948082
img_gray_hist_bin_7,coefficient,0.06167292892778977,0.06167292892778977
img_contrast,coefficient,-0.06077013359141068,0.06077013359141068
img_brightness_std,coefficient,-0.060770133591400696,0.060770133591400696
img_gray_hist_bin_3,coefficient,-0.06046046696111343,0.06046046696111343
img_hsv_s_hist_bin_4,coefficient,-0.06044870957054634,0.06044870957054634
img_g_std,coefficient,-0.04449927318695243,0.06027424409243565
img_g_mean,coefficient,-0.05674684635720868,0.05674684635720868
img_gray_hist_bin_4,coefficient,-0.05206053678022095,0.05206053678022095
img_lbp_mean,coefficient,0.052007964605486554,0.052007964605486554
img_brightness_mean,coefficient,-0.04951476893479929,0.04951476893479929
img_rust_center_of_mass_cm,coefficient,0.01868296955156938,0.046764311083119375
img_hsv_v_hist_bin_2,coefficient,-0.03282084721999398,0.04503433508333882
img_rust_blob_mean_ratio_pct,coefficient,-0.04324028520220828,0.04324028520220828
img_brightness_p90,coefficient,-0.035107118839019055,0.04251464134783382
img_hsv_h_std,coefficient,-0.04214567688002535,0.04214567688002535
img_lbp_std,coefficient,0.041124814404710976,0.041124814404710976
img_strip_rust_mean_pct,coefficient,-0.0405916983497165,0.0405916983497165
