feature,importance_kind,importance,importance_abs
img_r_mean,feature_importance,0.1488482099166195,0.1488482099166195
img_glcm_homogeneity,feature_importance,0.09859738005742082,0.09859738005742082
img_edge_to_center_rust_ratio,feature_importance,0.056756157826558795,0.056756157826558795
img_strip_peak_location_cm,feature_importance,0.048774983317457915,0.048774983317457915
img_glcm_contrast,feature_importance,0.04823944653786863,0.04823944653786863
img_rust_center_of_mass_cm,feature_importance,0.04815759472737673,0.04815759472737673
img_lbp_mean,feature_importance,0.04677574191815657,0.04677574191815657
img_rust_blob_largest_ratio_pct,feature_importance,0.04514362356353953,0.04514362356353953
img_strip_rust_max_pct,feature_importance,0.04253950720934081,0.04253950720934081
img_b_std,feature_importance,0.03968186047627317,0.03968186047627317
img_glcm_energy,feature_importance,0.03524219937259776,0.03524219937259776
img_gray_hist_bin_5,feature_importance,0.03218287547849992,0.03218287547849992
img_gray_mask_ratio_pct,feature_importance,0.028918035273059434,0.028918035273059434
img_gray_hist_bin_7,feature_importance,0.026823880874237337,0.026823880874237337
img_gray_hist_bin_4,feature_importance,0.023812715284745163,0.023812715284745163
img_rust_blob_eccentricity_mean,feature_importance,0.022066381917059615,0.022066381917059615
img_gray_hist_bin_2,feature_importance,0.02111091148631448,0.02111091148631448
img_rust_blob_mean_ratio_pct,feature_importance,0.020653389036765564,0.020653389036765564
img_lbp_std,feature_importance,0.017275235700483678,0.017275235700483678
img_r_std,feature_importance,0.013931145291286293,0.013931145291286293
img_g_std,feature_importance,0.012005538668712134,0.012005538668712134
img_gray_hist_bin_0,feature_importance,0.010882451367862606,0.010882451367862606
img_gray_hist_bin_1,feature_importance,0.01051089225022871,0.01051089225022871
img_gray_hist_bin_6,feature_importance,0.009318163967720271,0.009318163967720271
img_rust_blob_count,feature_importance,0.008949562454430161,0.008949562454430161
img_strip_rust_p90_pct,feature_importance,0.008063365995536094,0.008063365995536094
img_black_mask_ratio_pct,feature_importance,0.007923727103169879,0.007923727103169879
img_gray_hist_bin_3,feature_importance,0.007844055311027444,0.007844055311027444
img_brightness_p90,feature_importance,0.007046133737027369,0.007046133737027369
img_strip_high_count,feature_importance,0.007016362737435086,0.007016362737435086
img_contrast,feature_importance,0.0063482593085190785,0.0063482593085190785
img_b_mean,feature_importance,0.00622228337684175,0.00622228337684175
img_strip_rust_std_pct,feature_importance,0.006118225535704455,0.006118225535704455
img_brightness_std,feature_importance,0.006047348137307939,0.006047348137307939
img_brightness_p10,feature_importance,0.004436035516086486,0.004436035516086486
img_g_mean,feature_importance,0.0042530117210439165,0.0042530117210439165
img_brightness_mean,feature_importance,0.0038660579557580656,0.0038660579557580656
img_strip_rust_mean_pct,feature_importance,0.0034573334367975416,0.0034573334367975416
img_rust_area_ratio_pct,feature_importance,0.0033831170160223438,0.0033831170160223438
img_rust_blob_eccentricity_max,feature_importance,0.0007767991371069867,0.0007767991371069867
img_strip_count,feature_importance,0.0,0.0
