split_name,repeat_id,fold_id,split_id,n_train_rows,n_test_rows,n_train_terminal_rows,n_test_terminal_rows,train_specimens,test_specimens,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
grouped_cv,0,0,grouped_cv_repeat0_fold0,305,87,34,9,34,9,0.04107657831564308,0.19081915115656525,0.05455981141174798,0.2559064322915008,0.9809229878113889,0.2924077222819247,0.972184058867138,0.65
grouped_cv,0,1,grouped_cv_repeat0_fold1,314,78,34,9,34,9,0.0449354918268126,0.24609086074094552,0.056792534941313894,0.3279914456297616,0.9756509964045503,0.37568247231501783,0.9841051965171359,0.6443571047419068
grouped_cv,0,2,grouped_cv_repeat0_fold2,301,91,34,9,34,9,0.03819974232037694,0.1807316575032033,0.05000169245932237,0.22501120418170759,0.9811534381130657,0.7215220483620475,0.9889203285736156,0.8870370532810664
grouped_cv,0,3,grouped_cv_repeat0_fold3,321,71,35,8,35,8,0.03962273854408317,0.1315454514757539,0.05483261912481887,0.16975709143827847,0.9806778216917041,0.6712621275173559,0.985710321684884,0.8571428571428572
grouped_cv,0,4,grouped_cv_repeat0_fold4,327,65,35,8,35,8,0.0424709056889011,0.22107075012573346,0.05958716106391698,0.257689862909394,0.9741925444412929,0.6012029813581329,0.9804554016492055,0.7380952380952381
grouped_cv,1,0,grouped_cv_repeat1_fold0,312,80,34,9,34,9,0.042403705381757556,0.1589070369154351,0.05755097290579051,0.2091864620399775,0.9794716379314358,0.39734127113186646,0.9849469197429999,0.6333333333333333
grouped_cv,1,1,grouped_cv_repeat1_fold1,310,82,34,9,34,9,0.04604831921848372,0.14033165202410014,0.06110719141227729,0.18187201915874648,0.9742471100578763,0.747605183075227,0.9808206874958222,0.9333333333333332
grouped_cv,1,2,grouped_cv_repeat1_fold2,314,78,34,9,34,9,0.04055886989157905,0.2729448205510127,0.052243642985200636,0.32196735042653407,0.9814049583294197,0.14413697618998578,0.988537414361366,0.6833333333333333
grouped_cv,1,3,grouped_cv_repeat1_fold3,320,72,35,8,35,8,0.04251209434334016,0.20692864027323715,0.05591747436192386,0.25406689793877757,0.9762906058053653,0.6628555700651304,0.9864107980362804,0.880952380952381
grouped_cv,1,4,grouped_cv_repeat1_fold4,312,80,35,8,35,8,0.04307459537836713,0.22172398991730477,0.05556328338490373,0.300758872197559,0.9762787545622943,0.5426900950174538,0.9746427953328226,0.4761904761904762
